,Size_Index,BM_Ratio_Index,Momentum_Index,ESG Rating,Abnormal Return,Month
0,1,1.0,1.0,Leader,6.608333333333334,Apr
1,1,1.0,2.0,Leader,-56.345454545454544,Apr
2,1,1.0,3.0,Leader,-1.1333333333333329,Apr
4,1,1.0,5.0,Leader,-36.583333333333336,Apr
7,1,2.0,3.0,Leader,-12.49090909090909,Apr
13,1,3.0,4.0,Leader,-14.591666666666665,Apr
14,1,3.0,5.0,Leader,1.2181818181818187,Apr
19,1,4.0,5.0,Leader,9.283333333333335,Apr
23,1,5.0,4.0,Leader,5.454545454545457,Apr
26,2,1.0,2.0,Leader,-8.309090909090912,Apr
27,2,1.0,3.0,Leader,4.766666666666669,Apr
28,2,1.0,4.0,Leader,-27.736363636363638,Apr
30,2,2.0,1.0,Leader,-3.583333333333332,Apr
33,2,2.0,4.0,Leader,-12.681818181818182,Apr
37,2,3.0,3.0,Leader,4.3909090909090835,Apr
38,2,3.0,4.0,Leader,-15.084848484848486,Apr
42,2,4.0,3.0,Leader,16.25454545454546,Apr
43,2,4.0,4.0,Leader,14.545454545454547,Apr
44,2,4.0,5.0,Leader,20.608333333333327,Apr
47,2,5.0,3.0,Leader,16.333333333333336,Apr
50,3,1.0,1.0,Leader,13.133333333333333,Apr
52,3,1.0,3.0,Leader,-9.749999999999996,Apr
53,3,1.0,4.0,Leader,7.818181818181824,Apr
54,3,1.0,5.0,Leader,-10.1,Apr
56,3,2.0,2.0,Leader,-5.850000000000001,Apr
57,3,2.0,3.0,Leader,-6.518181818181818,Apr
61,3,3.0,2.0,Leader,1.5,Apr
62,3,3.0,3.0,Leader,1.0045454545454557,Apr
63,3,3.0,4.0,Leader,4.145454545454543,Apr
64,3,3.0,5.0,Leader,16.174999999999997,Apr
70,3,5.0,1.0,Leader,6.869230769230775,Apr
71,3,5.0,2.0,Leader,1.8000000000000007,Apr
75,4,1.0,1.0,Leader,-9.350000000000005,Apr
76,4,1.0,2.0,Leader,9.01515151515152,Apr
77,4,1.0,3.0,Leader,-12.033333333333331,Apr
78,4,1.0,4.0,Leader,-3.1000000000000014,Apr
79,4,1.0,5.0,Leader,3.3516666666666683,Apr
80,4,2.0,1.0,Leader,-5.433333333333337,Apr
81,4,2.0,2.0,Leader,29.575,Apr
83,4,2.0,4.0,Leader,0.00833333333333286,Apr
84,4,2.0,5.0,Leader,-1.6333333333333329,Apr
85,4,3.0,1.0,Leader,-13.941666666666666,Apr
86,4,3.0,2.0,Leader,0.9416666666666664,Apr
87,4,3.0,3.0,Leader,-2.830000000000002,Apr
88,4,3.0,4.0,Leader,2.349999999999998,Apr
89,4,3.0,5.0,Leader,2.7909090909090892,Apr
90,4,4.0,1.0,Leader,-2.7333333333333343,Apr
91,4,4.0,2.0,Leader,-8.763636363636362,Apr
93,4,4.0,4.0,Leader,2.0083333333333364,Apr
94,4,4.0,5.0,Leader,-7.13,Apr
98,4,5.0,4.0,Leader,-7.818181818181818,Apr
100,5,1.0,1.0,Leader,-21.87692307692308,Apr
101,5,1.0,2.0,Leader,2.3022727272727295,Apr
102,5,1.0,3.0,Leader,1.7416666666666654,Apr
103,5,1.0,4.0,Leader,5.82,Apr
104,5,1.0,5.0,Leader,-0.6500000000000004,Apr
105,5,2.0,1.0,Leader,12.399999999999999,Apr
106,5,2.0,2.0,Leader,-0.5242424242424235,Apr
107,5,2.0,3.0,Leader,-4.5090909090909115,Apr
108,5,2.0,4.0,Leader,-4.8249999999999975,Apr
109,5,2.0,5.0,Leader,-0.03636363636363704,Apr
110,5,3.0,1.0,Leader,-0.8466666666666711,Apr
111,5,3.0,2.0,Leader,-3.150000000000002,Apr
112,5,3.0,3.0,Leader,0.3931818181818194,Apr
113,5,3.0,4.0,Leader,0.462637362637361,Apr
114,5,3.0,5.0,Leader,4.43,Apr
115,5,4.0,1.0,Leader,-7.566666666666665,Apr
116,5,4.0,2.0,Leader,-4.120000000000001,Apr
118,5,4.0,4.0,Leader,5.191666666666666,Apr
119,5,4.0,5.0,Leader,-10.263636363636365,Apr
120,5,5.0,1.0,Leader,-7.541666666666664,Apr
121,5,5.0,2.0,Leader,-6.583333333333334,Apr
123,5,5.0,4.0,Leader,7.948484848484849,Apr
124,5,5.0,5.0,Leader,-6.22666666666667,Apr
125,1,1.0,1.0,Laggard,-3.7916666666666714,Apr
126,1,1.0,2.0,Laggard,29.954545454545453,Apr
127,1,1.0,3.0,Laggard,-39.86666666666667,Apr
128,1,1.0,4.0,Laggard,-0.8136363636363697,Apr
129,1,1.0,5.0,Laggard,-14.833333333333336,Apr
130,1,2.0,1.0,Laggard,-0.0416666666666643,Apr
131,1,2.0,2.0,Laggard,-17.563636363636363,Apr
132,1,2.0,3.0,Laggard,0.7090909090909072,Apr
133,1,2.0,4.0,Laggard,-4.648484848484847,Apr
134,1,2.0,5.0,Laggard,-10.533333333333333,Apr
135,1,3.0,1.0,Laggard,1.0641025641025692,Apr
136,1,3.0,2.0,Laggard,0.9939393939393959,Apr
137,1,3.0,3.0,Laggard,-4.623636363636361,Apr
138,1,3.0,4.0,Laggard,-4.891666666666662,Apr
139,1,3.0,5.0,Laggard,-5.206818181818182,Apr
140,1,4.0,1.0,Laggard,-24.933333333333337,Apr
141,1,4.0,2.0,Laggard,0.21136363636363953,Apr
142,1,4.0,3.0,Laggard,-2.7181818181818187,Apr
143,1,4.0,4.0,Laggard,-3.3636363636363633,Apr
144,1,4.0,5.0,Laggard,-7.349999999999998,Apr
145,1,5.0,1.0,Laggard,-6.008333333333333,Apr
146,1,5.0,2.0,Laggard,16.221212121212126,Apr
147,1,5.0,3.0,Laggard,-60.250000000000014,Apr
148,1,5.0,4.0,Laggard,10.15454545454546,Apr
149,1,5.0,5.0,Laggard,1.0249999999999986,Apr
150,2,1.0,1.0,Laggard,-9.800000000000004,Apr
151,2,1.0,2.0,Laggard,-8.409090909090914,Apr
152,2,1.0,3.0,Laggard,-20.15833333333333,Apr
153,2,1.0,4.0,Laggard,1.5636363636363662,Apr
154,2,1.0,5.0,Laggard,22.608333333333324,Apr
155,2,2.0,1.0,Laggard,-12.833333333333334,Apr
156,2,2.0,2.0,Laggard,-10.912820512820517,Apr
157,2,2.0,3.0,Laggard,-6.622222222222222,Apr
159,2,2.0,5.0,Laggard,-3.849999999999998,Apr
