,Symbol,Name,Size_Index,BM_Ratio_Index,Momentum_Index,ESG_Index,Monthly Return,Benchmark_Return,Abnormal_Return,Month
0,A,"Agilent Technologies, Inc.",5,3.0,4.0,Leader,4.2,6.718181818181818,-2.5181818181818176,2020-08
1,AAL,"American Airlines Group, Inc.",4,1.0,1.0,Laggard,17.4,6.099999999999999,11.3,2020-08
2,AAN,"Aaron's, Inc.",3,3.0,1.0,Average,7.1,1.591666666666667,5.508333333333333,2020-08
3,AAON,"AAON, Inc.",3,3.0,4.0,Average,-3.9,2.036363636363636,-5.936363636363636,2020-08
4,AAP,"Advance Auto Parts, Inc.",4,4.0,3.0,Average,4.1,3.19,0.9099999999999997,2020-08
5,AAPL,Apple Inc.,5,3.0,5.0,Average,21.6,2.891666666666668,18.708333333333332,2020-08
6,AAT,"American Assets Trust, Inc.",2,4.0,1.0,Average,-5.4,5.291666666666667,-10.691666666666666,2020-08
7,AAWW,"Atlas Air Worldwide Holdings, Inc.",2,5.0,5.0,Laggard,8.3,8.783333333333333,-0.4833333333333325,2020-08
8,AAXN,Axon Enterprise Inc,3,3.0,4.0,Average,3.1,2.036363636363636,1.063636363636364,2020-08
9,ABBV,"AbbVie, Inc.",5,1.0,5.0,Average,0.9,2.3833333333333333,-1.4833333333333334,2020-08
10,ABC,AmerisourceBergen Corporation,5,1.0,3.0,Average,-2.7,3.8666666666666667,-6.566666666666666,2020-08
11,ABCB,Ameris Bancorp,2,4.0,1.0,Average,6.3,5.291666666666667,1.0083333333333329,2020-08
12,ABG,"Asbury Automotive Group, Inc.",2,2.0,4.0,Average,5.6,7.172727272727273,-1.5727272727272732,2020-08
13,ABM,ABM Industries Incorporated,3,1.0,3.0,Average,6.2,5.283333333333334,0.9166666666666661,2020-08
14,ABMD,"ABIOMED, Inc.",4,3.0,4.0,Average,2.6,0.6545454545454544,1.9454545454545458,2020-08
15,ABT,Abbott Laboratories,5,2.0,3.0,Average,8.8,3.8363636363636364,4.963636363636365,2020-08
16,ABTX,"Allegiance Bancshares, Inc.",1,4.0,4.0,Average,4.6,8.781818181818183,-4.181818181818183,2020-08
17,ACA,Arcosa Inc,2,4.0,5.0,Average,9.6,-1.033333333333333,10.633333333333333,2020-08
18,ACC,"American Campus Communities, Inc.",3,5.0,4.0,Average,-3.6,-0.05454545454545472,-3.5454545454545454,2020-08
19,ACHC,"Acadia Healthcare Company, Inc.",3,2.0,3.0,Average,3.7,5.627272727272728,-1.9272727272727277,2020-08
20,ACIW,"ACI Worldwide, Inc.",3,1.0,2.0,Leader,9.7,7.018181818181817,2.6818181818181825,2020-08
21,ACLS,"Axcelis Technologies, Inc.",1,4.0,5.0,Laggard,-19.7,8.883333333333333,-28.583333333333332,2020-08
22,ACM,AECOM,4,2.0,2.0,Leader,9.2,4.954545454545454,4.245454545454545,2020-08
23,ACN,Accenture Plc Class A,5,3.0,3.0,Leader,6.7,9.036363636363637,-2.336363636363637,2020-08
24,ADBE,Adobe Inc.,5,3.0,4.0,Leader,15.5,6.718181818181818,8.781818181818181,2020-08
25,ADC,Agree Realty Corporation,3,5.0,5.0,Average,-0.1,5.875,-5.975,2020-08
26,ADI,"Analog Devices, Inc.",5,2.0,2.0,Average,2.3,6.972727272727273,-4.672727272727273,2020-08
27,ADM,Archer-Daniels-Midland Company,5,5.0,4.0,Average,5.3,2.436363636363636,2.8636363636363638,2020-08
28,ADNT,Adient plc,2,1.0,2.0,Laggard,4.2,5.845454545454545,-1.6454545454545446,2020-08
29,ADP,"Automatic Data Processing, Inc.",5,3.0,1.0,Average,4.6,6.508333333333334,-1.908333333333334,2020-08
30,ADS,Alliance Data Systems Corporation,2,2.0,1.0,Average,2.2,12.333333333333334,-10.133333333333333,2020-08
31,ADSK,"Autodesk, Inc.",5,2.0,5.0,Leader,3.9,3.5500000000000003,0.34999999999999964,2020-08
32,ADTN,"ADTRAN, Inc.",1,4.0,5.0,Leader,-10.0,8.883333333333333,-18.883333333333333,2020-08
33,ADUS,Addus HomeCare Corporation,2,2.0,5.0,Average,-2.9,-2.1416666666666666,-0.7583333333333333,2020-08
34,AEE,Ameren Corporation,5,5.0,4.0,Average,-1.4,2.436363636363636,-3.836363636363636,2020-08
35,AEGN,Aegion Corporation,1,2.0,4.0,Average,5.0,2.4454545454545453,2.5545454545454547,2020-08
36,AEIS,"Advanced Energy Industries, Inc.",3,3.0,4.0,Average,0.7,2.036363636363636,-1.3363636363636362,2020-08
37,AEL,American Equity Investment Life Holding Company,2,5.0,5.0,Average,-6.1,8.783333333333333,-14.883333333333333,2020-08
38,AEO,"American Eagle Outfitters, Inc.",2,4.0,1.0,Average,26.1,5.291666666666667,20.808333333333334,2020-08
39,AEP,"American Electric Power Company, Inc.",5,5.0,4.0,Average,-8.5,2.436363636363636,-10.936363636363636,2020-08
40,AES,AES Corporation,4,3.0,2.0,Leader,16.5,3.4909090909090916,13.009090909090908,2020-08
41,AFG,"American Financial Group, Inc.",3,5.0,2.0,Average,10.0,1.6090909090909091,8.39090909090909,2020-08
42,AFL,Aflac Incorporated,5,5.0,1.0,Average,2.9,1.2000000000000002,1.6999999999999997,2020-08
43,AGCO,AGCO Corporation,3,3.0,2.0,Average,8.6,3.5545454545454542,5.045454545454545,2020-08
44,AGYS,"Agilysys, Inc.",1,2.0,4.0,Laggard,21.0,2.4454545454545453,18.554545454545455,2020-08
45,AHH,"Armada Hoffler Properties, Inc.",1,2.0,2.0,Average,4.8,7.763636363636365,-2.9636363636363647,2020-08
46,AIG,"American International Group, Inc.",5,5.0,1.0,Average,-9.3,1.2000000000000002,-10.5,2020-08
47,AIN,Albany International Corp. Class A,2,3.0,1.0,Average,7.9,4.575,3.325,2020-08
48,AIR,AAR CORP.,1,3.0,1.0,Average,17.2,13.725,3.4749999999999996,2020-08
49,AIT,"Applied Industrial Technologies, Inc.",3,1.0,4.0,Average,-4.1,0.7000000000000002,-4.8,2020-08
50,AIV,Apartment Investment & Management Co Class A,4,4.0,1.0,Laggard,-6.1,2.991666666666667,-9.091666666666667,2020-08
51,AIZ,"Assurant, Inc.",4,4.0,2.0,Average,13.7,4.0583333333333345,9.641666666666666,2020-08
52,AJG,Arthur J. Gallagher & Co.,5,1.0,5.0,Average,-2.0,2.3833333333333333,-4.383333333333333,2020-08
53,AJRD,"Aerojet Rocketdyne Holdings, Inc.",3,3.0,1.0,Average,0.3,1.591666666666667,-1.291666666666667,2020-08
54,AKAM,"Akamai Technologies, Inc.",4,3.0,3.0,Average,3.5,4.681818181818182,-1.1818181818181817,2020-08
55,AKR,Acadia Realty Trust,1,4.0,1.0,Laggard,-5.8,9.208333333333334,-15.008333333333333,2020-08
56,ALB,Albemarle Corporation,4,4.0,4.0,Average,10.4,4.463636363636364,5.9363636363636365,2020-08
57,ALE,"ALLETE, Inc.",3,5.0,2.0,Average,-8.0,1.6090909090909091,-9.60909090909091,2020-08
58,ALEX,"Alexander & Baldwin, Inc.",1,4.0,2.0,Average,2.5,2.9818181818181815,-0.4818181818181815,2020-08
59,ALG,Alamo Group Inc.,2,2.0,3.0,Average,7.6,5.254545454545454,2.3454545454545457,2020-08
60,ALGN,"Align Technology, Inc.",5,3.0,4.0,Average,1.1,6.718181818181818,-5.618181818181817,2020-08
61,ALGT,Allegiant Travel Company,2,3.0,2.0,Average,14.8,7.718181818181819,7.081818181818182,2020-08
62,ALK,"Alaska Air Group, Inc.",3,4.0,1.0,Average,13.1,3.508333333333333,9.591666666666667,2020-08
63,ALL,Allstate Corporation,5,5.0,3.0,Average,-0.9,2.275,-3.175,2020-08
64,ALLE,Allegion PLC,4,2.0,2.0,Leader,4.0,4.954545454545454,-0.9545454545454541,2020-08
65,ALRM,"Alarm.com Holdings, Inc.",3,2.0,5.0,Laggard,-14.5,2.625,-17.125,2020-08
66,ALXN,"Alexion Pharmaceuticals, Inc.",5,4.0,1.0,Average,11.4,5.6499999999999995,5.750000000000001,2020-08
67,AM,Antero Midstream Corp.,3,4.0,2.0,Average,19.4,2.218181818181818,17.18181818181818,2020-08
68,AMAG,"AMAG Pharmaceuticals, Inc.",1,1.0,4.0,Average,8.4,13.409090909090908,-5.009090909090908,2020-08
69,AMAT,"Applied Materials, Inc.",5,4.0,4.0,Leader,-3.9,1.7545454545454546,-5.654545454545454,2020-08
70,AMBC,"Ambac Financial Group, Inc.",1,5.0,4.0,Average,-1.3,1.9727272727272727,-3.2727272727272725,2020-08
71,AMCR,Amcor PLC,4,1.0,3.0,Leader,7.4,6.125,1.2750000000000004,2020-08
72,AMCX,AMC Networks Inc. Class A,2,1.0,1.0,Laggard,5.2,10.191666666666666,-4.991666666666666,2020-08
73,AMD,"Advanced Micro Devices, Inc.",5,3.0,5.0,Average,17.3,2.891666666666668,14.408333333333333,2020-08
74,AME,"AMETEK, Inc.",5,2.0,2.0,Laggard,8.0,6.972727272727273,1.0272727272727273,2020-08
75,AMED,"Amedisys, Inc.",4,2.0,5.0,Average,3.3,5.041666666666667,-1.7416666666666671,2020-08
76,AMG,"Affiliated Managers Group, Inc.",3,1.0,3.0,Average,-0.2,5.283333333333334,-5.483333333333334,2020-08
77,AMGN,Amgen Inc.,5,1.0,5.0,Leader,4.2,2.3833333333333333,1.8166666666666669,2020-08
78,AMN,"AMN Healthcare Services, Inc.",3,1.0,4.0,Leader,-2.0,0.7000000000000002,-2.7,2020-08
79,AMP,"Ameriprise Financial, Inc.",4,4.0,4.0,Average,2.7,4.463636363636364,-1.7636363636363637,2020-08
80,AMPH,Amphastar Pharmaceuticals Inc,1,3.0,4.0,Average,1.8,10.08181818181818,-8.28181818181818,2020-08
81,AMSF,"AMERISAFE, Inc.",2,3.0,4.0,Laggard,5.2,-1.4800000000000002,6.680000000000001,2020-08
82,AMT,American Tower Corporation,5,1.0,5.0,Average,-4.7,2.3833333333333333,-7.083333333333334,2020-08
83,AMWD,American Woodmark Corporation,2,1.0,4.0,Average,8.5,2.0454545454545454,6.454545454545455,2020-08
84,AMZN,"Amazon.com, Inc.",5,3.0,5.0,Average,9.0,2.891666666666668,6.1083333333333325,2020-08
85,AN,"AutoNation, Inc.",3,4.0,4.0,Average,10.8,2.9999999999999996,7.800000000000001,2020-08
86,ANDE,"Andersons, Inc.",1,5.0,2.0,Average,24.7,14.32727272727273,10.37272727272727,2020-08
87,ANET,"Arista Networks, Inc.",5,4.0,2.0,Average,-14.0,3.163636363636364,-17.163636363636364,2020-08
88,ANF,Abercrombie & Fitch Co. Class A,1,5.0,3.0,Laggard,35.1,8.533333333333333,26.56666666666667,2020-08
89,ANGO,"AngioDynamics, Inc.",1,2.0,1.0,Average,13.4,3.9333333333333336,9.466666666666667,2020-08
90,ANIK,"Anika Therapeutics, Inc.",1,3.0,2.0,Laggard,5.3,6.727272727272726,-1.427272727272726,2020-08
91,ANIP,"ANI Pharmaceuticals, Inc.",1,2.0,1.0,Average,5.9,3.9333333333333336,1.9666666666666668,2020-08
92,ANSS,"ANSYS, Inc.",5,3.0,5.0,Average,9.1,2.891666666666668,6.208333333333332,2020-08
93,ANTM,"Anthem, Inc.",5,3.0,2.0,Average,2.8,6.300000000000001,-3.500000000000001,2020-08
94,AON,Aon Plc Class A,5,2.0,3.0,Average,-2.5,3.8363636363636364,-6.336363636363636,2020-08
95,AOS,A. O. Smith Corporation,4,3.0,3.0,Average,1.7,4.681818181818182,-2.9818181818181815,2020-08
96,APA,Apache Corporation,4,4.0,1.0,Average,-3.6,2.991666666666667,-6.591666666666667,2020-08
97,APD,"Air Products and Chemicals, Inc.",5,4.0,4.0,Average,2.0,1.7545454545454546,0.24545454545454537,2020-08
98,APEI,"American Public Education, Inc.",1,4.0,4.0,Average,8.0,8.781818181818183,-0.7818181818181831,2020-08
99,APH,Amphenol Corporation Class A,5,2.0,3.0,Average,3.8,3.8363636363636364,-0.0363636363636366,2020-08
100,APOG,"Apogee Enterprises, Inc.",1,2.0,1.0,Average,-3.1,3.9333333333333336,-7.033333333333333,2020-08
101,APTV,Aptiv PLC,5,3.0,1.0,Leader,10.8,6.508333333333334,4.291666666666667,2020-08
102,ARCB,ArcBest Corporation,1,5.0,5.0,Average,11.5,8.7,2.8000000000000007,2020-08
103,ARE,"Alexandria Real Estate Equities, Inc.",5,5.0,5.0,Average,-5.2,1.366666666666667,-6.566666666666667,2020-08
104,ARI,"Apollo Commercial Real Estate Finance, Inc.",2,5.0,2.0,Average,-3.9,6.481818181818183,-10.381818181818183,2020-08
105,AROC,Archrock Inc.,1,4.0,3.0,Average,0.7,9.42727272727273,-8.72727272727273,2020-08
106,ARR,"ARMOUR Residential REIT, Inc.",1,5.0,3.0,Laggard,4.8,8.533333333333333,-3.7333333333333334,2020-08
107,ARW,"Arrow Electronics, Inc.",4,4.0,3.0,Average,9.7,3.19,6.51,2020-08
108,ARWR,"Arrowhead Pharmaceuticals, Inc.",3,2.0,5.0,Average,-1.9,2.625,-4.525,2020-08
109,ASB,Associated Banc-Corp,2,5.0,2.0,Average,6.1,6.481818181818183,-0.3818181818181836,2020-08
110,ASGN,ASGN Inc,3,1.0,4.0,Average,4.8,0.7000000000000002,4.1,2020-08
111,ASH,"Ashland Global Holdings, Inc.",3,2.0,3.0,Laggard,-2.0,5.627272727272728,-7.627272727272728,2020-08
112,ASIX,"AdvanSix, Inc.",1,4.0,2.0,Average,2.2,2.9818181818181815,-0.7818181818181813,2020-08
113,ASTE,"Astec Industries, Inc.",1,4.0,5.0,Average,18.7,8.883333333333333,9.816666666666666,2020-08
114,ATGE,Adtalem Global Education Inc.,2,3.0,1.0,Laggard,-3.3,4.575,-7.875,2020-08
115,ATI,Allegheny Technologies Incorporated,1,4.0,1.0,Laggard,-4.1,9.208333333333334,-13.308333333333334,2020-08
116,ATNI,"ATN International, Inc.",1,4.0,5.0,Laggard,0.6,8.883333333333333,-8.283333333333333,2020-08
117,ATO,Atmos Energy Corporation,4,5.0,4.0,Average,-5.3,3.3090909090909095,-8.60909090909091,2020-08
118,ATR,"Aptargroup, Inc.",4,3.0,2.0,Average,2.8,3.4909090909090916,-0.6909090909090918,2020-08
