,Size_Index,BM_Ratio_Index,Momentum_Index,ESG Rating,Abnormal Return,Month
1,1,1.0,2.0,Leader,1.9090909090909092,Feb
2,1,1.0,3.0,Leader,-5.458333333333334,Feb
3,1,1.0,4.0,Leader,-15.954545454545457,Feb
6,1,2.0,2.0,Leader,1.9454545454545453,Feb
9,1,2.0,5.0,Leader,-1.658333333333334,Feb
10,1,3.0,1.0,Leader,9.583333333333332,Feb
11,1,3.0,2.0,Leader,-16.727272727272727,Feb
21,1,5.0,2.0,Leader,5.836363636363636,Feb
25,2,1.0,1.0,Leader,-14.108333333333334,Feb
26,2,1.0,2.0,Leader,5.336363636363634,Feb
28,2,1.0,4.0,Leader,5.759090909090909,Feb
29,2,1.0,5.0,Leader,10.733333333333333,Feb
31,2,2.0,2.0,Leader,0.009090909090911481,Feb
32,2,2.0,3.0,Leader,3.3863636363636376,Feb
37,2,3.0,3.0,Leader,5.6499999999999995,Feb
38,2,3.0,4.0,Leader,-3.369999999999999,Feb
41,2,4.0,2.0,Leader,2.0363636363636353,Feb
44,2,4.0,5.0,Leader,2.6416666666666675,Feb
45,2,5.0,1.0,Leader,-4.333333333333334,Feb
50,3,1.0,1.0,Leader,9.98333333333333,Feb
51,3,1.0,2.0,Leader,17.845454545454544,Feb
52,3,1.0,3.0,Leader,-6.781818181818181,Feb
55,3,2.0,1.0,Leader,-5.508333333333332,Feb
56,3,2.0,2.0,Leader,-7.209090909090908,Feb
57,3,2.0,3.0,Leader,2.545454545454543,Feb
59,3,2.0,5.0,Leader,-10.366666666666667,Feb
60,3,3.0,1.0,Leader,-1.0999999999999979,Feb
61,3,3.0,2.0,Leader,-0.6909090909090896,Feb
63,3,3.0,4.0,Leader,-0.19090909090909136,Feb
64,3,3.0,5.0,Leader,6.191666666666666,Feb
67,3,4.0,3.0,Leader,6.663636363636364,Feb
75,4,1.0,1.0,Leader,0.5,Feb
76,4,1.0,2.0,Leader,-13.9,Feb
77,4,1.0,3.0,Leader,5.436363636363637,Feb
78,4,1.0,4.0,Leader,-0.2909090909090901,Feb
79,4,1.0,5.0,Leader,2.7749999999999995,Feb
80,4,2.0,1.0,Leader,-0.11666666666666714,Feb
81,4,2.0,2.0,Leader,3.986363636363637,Feb
82,4,2.0,3.0,Leader,2.38181818181818,Feb
83,4,2.0,4.0,Leader,-1.9636363636363612,Feb
84,4,2.0,5.0,Leader,0.2166666666666659,Feb
85,4,3.0,1.0,Leader,-2.875,Feb
86,4,3.0,2.0,Leader,0.06818181818181657,Feb
87,4,3.0,3.0,Leader,-1.661363636363637,Feb
88,4,3.0,4.0,Leader,10.572727272727274,Feb
89,4,3.0,5.0,Leader,4.566666666666666,Feb
91,4,4.0,2.0,Leader,11.427272727272728,Feb
92,4,4.0,3.0,Leader,4.272727272727272,Feb
93,4,4.0,4.0,Leader,-2.7727272727272716,Feb
94,4,4.0,5.0,Leader,0.758333333333332,Feb
95,4,5.0,1.0,Leader,-0.8166666666666664,Feb
98,4,5.0,4.0,Leader,0.2545454545454522,Feb
100,5,1.0,1.0,Leader,0.1999999999999993,Feb
101,5,1.0,2.0,Leader,-1.0681818181818192,Feb
102,5,1.0,3.0,Leader,0.084090909090909,Feb
104,5,1.0,5.0,Leader,-1.7681818181818176,Feb
105,5,2.0,1.0,Leader,1.633333333333332,Feb
106,5,2.0,2.0,Leader,-1.372727272727273,Feb
107,5,2.0,3.0,Leader,0.7249999999999996,Feb
108,5,2.0,4.0,Leader,3.0363636363636353,Feb
109,5,2.0,5.0,Leader,4.966666666666667,Feb
110,5,3.0,1.0,Leader,-0.125,Feb
111,5,3.0,2.0,Leader,0.22878787878787854,Feb
112,5,3.0,3.0,Leader,-2.7272727272727275,Feb
113,5,3.0,4.0,Leader,0.14545454545454461,Feb
114,5,3.0,5.0,Leader,5.508333333333333,Feb
115,5,4.0,1.0,Leader,-6.708333333333334,Feb
116,5,4.0,2.0,Leader,1.0454545454545467,Feb
