,Size_Index,BM_Ratio_Index,Momentum_Index,ESG Rating,Abnormal Return,Month
0,1,1.0,1.0,Leader,13.1,Jan
1,1,1.0,2.0,Leader,0.6545454545454545,Jan
2,1,1.0,3.0,Leader,3.1583333333333314,Jan
3,1,1.0,4.0,Leader,5.736363636363636,Jan
6,1,2.0,2.0,Leader,-5.363636363636363,Jan
9,1,2.0,5.0,Leader,-15.516666666666667,Jan
10,1,3.0,1.0,Leader,-11.666666666666666,Jan
11,1,3.0,2.0,Leader,-1.5454545454545456,Jan
14,1,3.0,5.0,Leader,3.5666666666666678,Jan
21,1,5.0,2.0,Leader,-6.427272727272728,Jan
23,1,5.0,4.0,Leader,-14.854545454545455,Jan
25,2,1.0,1.0,Leader,7.283333333333333,Jan
26,2,1.0,2.0,Leader,-7.772727272727272,Jan
27,2,1.0,3.0,Leader,15.516666666666667,Jan
28,2,1.0,4.0,Leader,-0.4,Jan
29,2,1.0,5.0,Leader,-1.6666666666666665,Jan
31,2,2.0,2.0,Leader,2.727272727272727,Jan
32,2,2.0,3.0,Leader,-6.199999999999999,Jan
33,2,2.0,4.0,Leader,-5.1,Jan
36,2,3.0,2.0,Leader,8.681818181818182,Jan
38,2,3.0,4.0,Leader,3.909090909090909,Jan
42,2,4.0,3.0,Leader,-6.129999999999999,Jan
46,2,5.0,2.0,Leader,-3.5818181818181802,Jan
51,3,1.0,2.0,Leader,-3.081818181818182,Jan
52,3,1.0,3.0,Leader,-8.045454545454545,Jan
55,3,2.0,1.0,Leader,-4.741666666666666,Jan
56,3,2.0,2.0,Leader,-4.640909090909091,Jan
57,3,2.0,3.0,Leader,-7.545454545454546,Jan
59,3,2.0,5.0,Leader,4.841666666666667,Jan
60,3,3.0,1.0,Leader,8.508333333333333,Jan
62,3,3.0,3.0,Leader,11.354545454545454,Jan
64,3,3.0,5.0,Leader,-4.533333333333334,Jan
68,3,4.0,4.0,Leader,-0.1454545454545455,Jan
75,4,1.0,1.0,Leader,2.5083333333333337,Jan
76,4,1.0,2.0,Leader,0.13333333333333264,Jan
77,4,1.0,3.0,Leader,1.0818181818181816,Jan
79,4,1.0,5.0,Leader,-1.3666666666666665,Jan
80,4,2.0,1.0,Leader,-0.30833333333333346,Jan
81,4,2.0,2.0,Leader,-0.027272727272727282,Jan
82,4,2.0,3.0,Leader,1.6272727272727274,Jan
83,4,2.0,4.0,Leader,0.924242424242424,Jan
84,4,2.0,5.0,Leader,7.550000000000002,Jan
85,4,3.0,1.0,Leader,-8.68333333333333,Jan
86,4,3.0,2.0,Leader,-4.7,Jan
87,4,3.0,3.0,Leader,5.527272727272727,Jan
88,4,3.0,4.0,Leader,-2.166666666666666,Jan
89,4,3.0,5.0,Leader,-0.05833333333333357,Jan
93,4,4.0,4.0,Leader,3.333333333333334,Jan
94,4,4.0,5.0,Leader,-0.5166666666666662,Jan
95,4,5.0,1.0,Leader,1.2333333333333325,Jan
98,4,5.0,4.0,Leader,0.9909090909090903,Jan
100,5,1.0,1.0,Leader,3.316666666666667,Jan
101,5,1.0,2.0,Leader,-3.3659090909090907,Jan
102,5,1.0,3.0,Leader,-10.272727272727273,Jan
103,5,1.0,4.0,Leader,0.18636363636363606,Jan
104,5,1.0,5.0,Leader,0.7250000000000005,Jan
105,5,2.0,1.0,Leader,1.816666666666667,Jan
