,Symbol,Name,Size_Index,BM_Ratio_Index,Momentum_Index,ESG_Index,Monthly Return,Benchmark_Return,Abnormal_Return,Month
0,A,"Agilent Technologies, Inc.",5,3.0,4.0,Leader,-1.5,3.5909090909090904,-5.09090909090909,2020-06
1,AAL,"American Airlines Group, Inc.",3,1.0,1.0,Laggard,17.6,5.1,12.500000000000002,2020-06
2,AAN,"Aaron's, Inc.",3,3.0,1.0,Average,21.7,0.5416666666666662,21.15833333333333,2020-06
3,AAON,"AAON, Inc.",3,3.0,4.0,Average,0.4,2.690909090909091,-2.290909090909091,2020-06
4,AAP,"Advance Auto Parts, Inc.",4,4.0,2.0,Average,2.1,-0.6454545454545455,2.7454545454545456,2020-06
5,AAPL,Apple Inc.,5,3.0,5.0,Average,13.3,4.441666666666666,8.858333333333334,2020-06
6,AAT,"American Assets Trust, Inc.",2,4.0,1.0,Average,5.5,7.583333333333332,-2.083333333333332,2020-06
7,AAWW,"Atlas Air Worldwide Holdings, Inc.",1,5.0,5.0,Laggard,5.6,5.358333333333333,0.24166666666666625,2020-06
8,AAXN,Axon Enterprise Inc,3,3.0,4.0,Average,9.3,2.690909090909091,6.609090909090909,2020-06
9,ABBV,"AbbVie, Inc.",5,1.0,4.0,Average,8.2,3.3000000000000003,4.899999999999999,2020-06
10,ABC,AmerisourceBergen Corporation,5,1.0,4.0,Average,5.9,3.3000000000000003,2.6,2020-06
11,ABCB,Ameris Bancorp,2,4.0,2.0,Average,-1.3,2.790909090909091,-4.090909090909091,2020-06
12,ABG,"Asbury Automotive Group, Inc.",2,2.0,3.0,Average,6.3,3.5181818181818185,2.7818181818181813,2020-06
13,ABM,ABM Industries Incorporated,2,1.0,3.0,Average,12.6,4.141666666666667,8.458333333333332,2020-06
14,ABMD,"ABIOMED, Inc.",4,3.0,1.0,Average,6.8,-2.358333333333333,9.158333333333333,2020-06
15,ABT,Abbott Laboratories,5,2.0,4.0,Average,-1.7,4.145454545454545,-5.845454545454545,2020-06
16,ABTX,"Allegiance Bancshares, Inc.",1,4.0,4.0,Average,-0.1,5.118181818181818,-5.218181818181818,2020-06
17,ACA,Arcosa Inc,2,4.0,4.0,Average,11.8,4.181818181818182,7.618181818181819,2020-06
18,ACC,"American Campus Communities, Inc.",3,5.0,2.0,Average,2.5,2.3636363636363633,0.1363636363636367,2020-06
19,ACHC,"Acadia Healthcare Company, Inc.",3,2.0,2.0,Average,-12.7,-2.5363636363636366,-10.163636363636362,2020-06
20,ACIW,"ACI Worldwide, Inc.",3,1.0,3.0,Leader,-2.7,-3.4333333333333322,0.7333333333333321,2020-06
21,ACLS,"Axcelis Technologies, Inc.",1,4.0,5.0,Laggard,6.3,1.2999999999999996,5.0,2020-06
22,ACM,AECOM,4,2.0,4.0,Leader,-4.2,4.336363636363636,-8.536363636363635,2020-06
23,ACN,Accenture Plc Class A,5,3.0,2.0,Leader,5.6,-0.981818181818182,6.581818181818182,2020-06
24,ADBE,Adobe Inc.,5,3.0,4.0,Leader,11.7,3.5909090909090904,8.10909090909091,2020-06
25,ADC,Agree Realty Corporation,3,5.0,5.0,Average,2.9,1.0750000000000002,1.8249999999999997,2020-06
26,ADI,"Analog Devices, Inc.",5,2.0,4.0,Average,8.7,4.145454545454545,4.554545454545455,2020-06
27,ADM,Archer-Daniels-Midland Company,5,5.0,4.0,Average,2.6,-3.536363636363637,6.136363636363637,2020-06
28,ADNT,Adient plc,2,1.0,4.0,Laggard,-7.1,-5.181818181818182,-1.918181818181818,2020-06
29,ADP,"Automatic Data Processing, Inc.",5,3.0,1.0,Average,2.9,3.5499999999999994,-0.6499999999999995,2020-06
30,ADS,Alliance Data Systems Corporation,2,2.0,1.0,Average,-9.6,-1.625,-7.975,2020-06
31,ADSK,"Autodesk, Inc.",5,2.0,5.0,Leader,9.1,3.058333333333334,6.041666666666666,2020-06
32,ADTN,"ADTRAN, Inc.",1,5.0,3.0,Leader,-6.9,6.233333333333334,-13.133333333333335,2020-06
33,ADUS,Addus HomeCare Corporation,2,2.0,5.0,Average,-6.0,3.0333333333333328,-9.033333333333333,2020-06
