,Size_Index,BM_Ratio_Index,Momentum_Index,ESG Rating,Abnormal Return,Month
0,1,1.0,1.0,Leader,-23.008333333333333,Mar
1,1,1.0,2.0,Leader,5.345454545454544,Mar
2,1,1.0,3.0,Leader,11.166666666666657,Mar
4,1,1.0,5.0,Leader,54.54166666666667,Mar
5,1,2.0,1.0,Leader,52.225,Mar
6,1,2.0,2.0,Leader,-11.272727272727275,Mar
9,1,2.0,5.0,Leader,1.1999999999999993,Mar
11,1,3.0,2.0,Leader,8.954545454545453,Mar
21,1,5.0,2.0,Leader,7.4954545454545425,Mar
25,2,1.0,1.0,Leader,36.59166666666666,Mar
26,2,1.0,2.0,Leader,13.481818181818179,Mar
27,2,1.0,3.0,Leader,-25.716666666666665,Mar
29,2,1.0,5.0,Leader,-1.9750000000000014,Mar
30,2,2.0,1.0,Leader,2.083333333333332,Mar
31,2,2.0,2.0,Leader,-0.8181818181818166,Mar
32,2,2.0,3.0,Leader,-6.909090909090914,Mar
38,2,3.0,4.0,Leader,-6.963636363636365,Mar
39,2,3.0,5.0,Leader,2.8666666666666636,Mar
40,2,4.0,1.0,Leader,18.2076923076923,Mar
41,2,4.0,2.0,Leader,10.760000000000003,Mar
44,2,4.0,5.0,Leader,-12.35833333333333,Mar
45,2,5.0,1.0,Leader,1.3750000000000036,Mar
50,3,1.0,1.0,Leader,-15.666666666666675,Mar
51,3,1.0,2.0,Leader,18.218181818181815,Mar
54,3,1.0,5.0,Leader,8.25,Mar
55,3,2.0,1.0,Leader,10.091666666666669,Mar
56,3,2.0,2.0,Leader,-5.5727272727272705,Mar
57,3,2.0,3.0,Leader,-3.8181818181818166,Mar
58,3,2.0,4.0,Leader,-22.345454545454544,Mar
60,3,3.0,1.0,Leader,4.958333333333332,Mar
61,3,3.0,2.0,Leader,-2.1045454545454554,Mar
63,3,3.0,4.0,Leader,-11.27,Mar
68,3,4.0,4.0,Leader,-0.16363636363636402,Mar
70,3,5.0,1.0,Leader,-7.099999999999994,Mar
75,4,1.0,1.0,Leader,4.933333333333337,Mar
76,4,1.0,2.0,Leader,9.89090909090909,Mar
77,4,1.0,3.0,Leader,-0.7840909090909083,Mar
78,4,1.0,4.0,Leader,2.418181818181816,Mar
79,4,1.0,5.0,Leader,4.466666666666667,Mar
80,4,2.0,1.0,Leader,11.266666666666671,Mar
81,4,2.0,2.0,Leader,-3.8909090909090907,Mar
82,4,2.0,3.0,Leader,1.627272727272727,Mar
83,4,2.0,4.0,Leader,13.390909090909092,Mar
84,4,2.0,5.0,Leader,-3.491666666666667,Mar
85,4,3.0,1.0,Leader,-8.0,Mar
86,4,3.0,2.0,Leader,12.858333333333334,Mar
87,4,3.0,3.0,Leader,-6.6899999999999995,Mar
88,4,3.0,4.0,Leader,-18.618181818181814,Mar
89,4,3.0,5.0,Leader,20.06666666666667,Mar
92,4,4.0,3.0,Leader,-6.415151515151518,Mar
93,4,4.0,4.0,Leader,10.277272727272727,Mar
94,4,4.0,5.0,Leader,4.1083333333333325,Mar
95,4,5.0,1.0,Leader,3.25,Mar
98,4,5.0,4.0,Leader,-0.2416666666666707,Mar
100,5,1.0,1.0,Leader,-9.041666666666666,Mar
101,5,1.0,2.0,Leader,2.6954545454545453,Mar
102,5,1.0,3.0,Leader,9.291666666666666,Mar
103,5,1.0,4.0,Leader,0.7227272727272727,Mar
104,5,1.0,5.0,Leader,-2.450000000000001,Mar
105,5,2.0,1.0,Leader,-1.1166666666666654,Mar
106,5,2.0,2.0,Leader,11.286363636363635,Mar
107,5,2.0,3.0,Leader,-1.9863636363636363,Mar
108,5,2.0,4.0,Leader,1.663636363636364,Mar
109,5,2.0,5.0,Leader,-1.0,Mar
110,5,3.0,1.0,Leader,0.49166666666666714,Mar
111,5,3.0,2.0,Leader,2.820454545454549,Mar
112,5,3.0,3.0,Leader,-0.9127272727272704,Mar
113,5,3.0,4.0,Leader,7.342424242424244,Mar
114,5,3.0,5.0,Leader,1.251666666666666,Mar
115,5,4.0,1.0,Leader,3.2249999999999996,Mar
116,5,4.0,2.0,Leader,-0.4454545454545453,Mar
117,5,4.0,3.0,Leader,-8.645454545454546,Mar
118,5,4.0,4.0,Leader,-0.8030303030303028,Mar
119,5,4.0,5.0,Leader,-2.7416666666666654,Mar
120,5,5.0,1.0,Leader,-2.2250000000000014,Mar
121,5,5.0,2.0,Leader,13.940909090909088,Mar
122,5,5.0,3.0,Leader,10.625,Mar
124,5,5.0,5.0,Leader,12.7,Mar
125,1,1.0,1.0,Laggard,4.94166666666667,Mar
126,1,1.0,2.0,Laggard,3.1454545454545446,Mar
128,1,1.0,4.0,Laggard,15.202272727272724,Mar
129,1,1.0,5.0,Laggard,-4.591666666666669,Mar
130,1,2.0,1.0,Laggard,-9.074999999999998,Mar
131,1,2.0,2.0,Laggard,-3.3227272727272723,Mar
132,1,2.0,3.0,Laggard,2.6515151515151523,Mar
133,1,2.0,4.0,Laggard,-4.890909090909091,Mar
134,1,2.0,5.0,Laggard,4.1,Mar
135,1,3.0,1.0,Laggard,-21.175,Mar
136,1,3.0,2.0,Laggard,-0.8454545454545475,Mar
