,Size_Index,BM_Ratio_Index,Momentum_Index,ESG Rating,Abnormal Return,Month
0,1,1.0,1.0,Leader,-3.780769230769227,May
1,1,1.0,2.0,Leader,-16.48,May
2,1,1.0,3.0,Leader,-12.1,May
3,1,1.0,4.0,Leader,8.236363636363635,May
4,1,1.0,5.0,Leader,0.7416666666666654,May
6,1,2.0,2.0,Leader,-2.354545454545454,May
11,1,3.0,2.0,Leader,-10.209090909090909,May
13,1,3.0,4.0,Leader,67.77272727272727,May
16,1,4.0,2.0,Leader,15.98181818181818,May
23,1,5.0,4.0,Leader,-5.672727272727272,May
25,2,1.0,1.0,Leader,33.474999999999994,May
27,2,1.0,3.0,Leader,-6.463636363636363,May
28,2,1.0,4.0,Leader,-15.05,May
29,2,1.0,5.0,Leader,-2.991666666666669,May
30,2,2.0,1.0,Leader,-5.708333333333334,May
34,2,2.0,5.0,Leader,-2.581818181818182,May
37,2,3.0,3.0,Leader,7.181818181818182,May
38,2,3.0,4.0,Leader,8.972727272727273,May
39,2,3.0,5.0,Leader,-0.29999999999999893,May
40,2,4.0,1.0,Leader,14.766666666666667,May
44,2,4.0,5.0,Leader,-6.1000000000000005,May
46,2,5.0,2.0,Leader,0.7499999999999996,May
50,3,1.0,1.0,Leader,-2.6333333333333337,May
52,3,1.0,3.0,Leader,-10.266666666666666,May
53,3,1.0,4.0,Leader,-10.672727272727272,May
55,3,2.0,1.0,Leader,-5.083333333333334,May
56,3,2.0,2.0,Leader,4.066666666666665,May
60,3,3.0,1.0,Leader,-5.964102564102564,May
61,3,3.0,2.0,Leader,10.060000000000002,May
62,3,3.0,3.0,Leader,12.18181818181818,May
70,3,5.0,1.0,Leader,5.949999999999999,May
75,4,1.0,1.0,Leader,-0.2250000000000032,May
76,4,1.0,2.0,Leader,1.0909090909090917,May
77,4,1.0,3.0,Leader,-6.108333333333332,May
78,4,1.0,4.0,Leader,4.329545454545455,May
79,4,1.0,5.0,Leader,-3.6333333333333337,May
81,4,2.0,2.0,Leader,-0.7666666666666657,May
82,4,2.0,3.0,Leader,-1.081818181818182,May
83,4,2.0,4.0,Leader,-1.9454545454545435,May
84,4,2.0,5.0,Leader,7.583333333333336,May
85,4,3.0,1.0,Leader,-3.9999999999999982,May
86,4,3.0,2.0,Leader,-1.9409090909090914,May
87,4,3.0,3.0,Leader,2.049999999999999,May
88,4,3.0,4.0,Leader,-2.51,May
89,4,3.0,5.0,Leader,-12.716666666666669,May
91,4,4.0,2.0,Leader,-8.066666666666666,May
92,4,4.0,3.0,Leader,-4.289999999999999,May
93,4,4.0,4.0,Leader,-0.6606060606060584,May
94,4,4.0,5.0,Leader,-6.025,May
95,4,5.0,1.0,Leader,4.641666666666666,May
98,4,5.0,4.0,Leader,-7.109090909090909,May
100,5,1.0,1.0,Leader,-0.4999999999999991,May
101,5,1.0,2.0,Leader,-6.786363636363637,May
