,Size_Index,BM_Ratio_Index,Momentum_Index,Monthly Return,ESG_High_Return,Abnormal Return,Month
0,1,1.0,1.0,-4.516666666666668,17.533333333333335,22.050000000000004,Feb
1,1,1.0,2.0,-6.709090909090909,-28.25,-21.54090909090909,Feb
2,1,1.0,3.0,-12.275,-16.84,-4.5649999999999995,Feb
3,1,1.0,4.0,-4.845454545454545,-13.2,-8.354545454545455,Feb
4,1,1.0,5.0,-10.475000000000001,-12.7,-2.224999999999998,Feb
5,1,2.0,1.0,7.733333333333333,-1.1,-8.833333333333334,Feb
6,1,2.0,2.0,-10.445454545454545,-5.533333333333334,4.912121212121211,Feb
7,1,2.0,3.0,-11.5,-8.466666666666667,3.033333333333333,Feb
8,1,2.0,4.0,-8.763636363636364,-12.433333333333332,-3.669696969696968,Feb
9,1,2.0,5.0,-4.741666666666666,-10.55,-5.8083333333333345,Feb
10,1,3.0,1.0,-13.633333333333333,-13.059999999999999,0.5733333333333341,Feb
11,1,3.0,2.0,-15.372727272727273,-16.733333333333334,-1.3606060606060613,Feb
12,1,3.0,3.0,-7.554545454545454,-8.05,-0.4954545454545469,Feb
13,1,3.0,4.0,-7.800000000000001,10.8,18.6,Feb
14,1,3.0,5.0,-10.466666666666667,,,Feb
15,1,4.0,1.0,-11.858333333333334,-14.5,-2.6416666666666657,Feb
16,1,4.0,2.0,-11.345454545454546,-6.6,4.745454545454546,Feb
17,1,4.0,3.0,-11.545454545454545,-11.2,0.3454545454545457,Feb
18,1,4.0,4.0,-11.47272727272727,,,Feb
19,1,4.0,5.0,-10.791666666666666,-13.933333333333332,-3.1416666666666657,Feb
20,1,5.0,1.0,-7.25,-10.8,-3.5500000000000007,Feb
21,1,5.0,2.0,-13.936363636363636,-13.766666666666667,0.16969696969696813,Feb
22,1,5.0,3.0,-9.218181818181819,,,Feb
23,1,5.0,4.0,-10.01818181818182,-15.1,-5.08181818181818,Feb
24,1,5.0,5.0,-8.033333333333335,-15.2,-7.166666666666664,Feb
25,2,1.0,1.0,-4.024999999999998,-20.075,-16.05,Feb
26,2,1.0,2.0,-17.436363636363634,-17.9,-0.46363636363636473,Feb
27,2,1.0,3.0,-13.681818181818182,-10.866666666666667,2.8151515151515145,Feb
28,2,1.0,4.0,-10.60909090909091,-7.675,2.9340909090909095,Feb
29,2,1.0,5.0,-12.533333333333333,-8.2,4.333333333333334,Feb
30,2,2.0,1.0,-4.424999999999999,-1.1,3.324999999999999,Feb
31,2,2.0,2.0,-12.70909090909091,-10.5,2.2090909090909108,Feb
32,2,2.0,3.0,-7.736363636363637,-4.35,3.3863636363636376,Feb
33,2,2.0,4.0,-12.445454545454545,-19.6,-7.154545454545456,Feb
34,2,2.0,5.0,-12.858333333333329,-9.174999999999999,3.68333333333333,Feb
35,2,3.0,1.0,-7.658333333333332,8.4,16.058333333333334,Feb
36,2,3.0,2.0,-10.318181818181818,-10.7,-0.38181818181818095,Feb
37,2,3.0,3.0,-7.3999999999999995,-1.75,5.6499999999999995,Feb
38,2,3.0,4.0,-9.23,-9.466666666666667,-0.23666666666666636,Feb
39,2,3.0,5.0,-9.874999999999998,-21.65,-11.775,Feb
40,2,4.0,1.0,-9.075000000000001,-10.6,-1.5249999999999986,Feb
41,2,4.0,2.0,-10.536363636363635,-10.95,-0.413636363636364,Feb
42,2,4.0,3.0,-9.80909090909091,-13.1,-3.2909090909090892,Feb
43,2,4.0,4.0,-10.49090909090909,-4.866666666666666,5.624242424242424,Feb
44,2,4.0,5.0,-4.341666666666668,-4.9,-0.5583333333333327,Feb
45,2,5.0,1.0,-14.766666666666667,-18.25,-3.4833333333333325,Feb
46,2,5.0,2.0,-9.536363636363637,-8.1,1.4363636363636374,Feb
47,2,5.0,3.0,-11.590909090909092,-5.4,6.190909090909091,Feb
48,2,5.0,4.0,-12.227272727272727,-12.9,-0.6727272727272737,Feb
49,2,5.0,5.0,-8.808333333333332,,,Feb
50,3,1.0,1.0,-12.683333333333332,-4.050000000000001,8.633333333333331,Feb
51,3,1.0,2.0,-8.645454545454546,-2.75,5.895454545454546,Feb
52,3,1.0,3.0,-12.31818181818182,-16.200000000000003,-3.8818181818181827,Feb
53,3,1.0,4.0,-10.445454545454547,,,Feb
54,3,1.0,5.0,-9.9,-1.2000000000000002,8.7,Feb
55,3,2.0,1.0,-7.191666666666667,-13.55,-6.358333333333333,Feb
56,3,2.0,2.0,-7.490909090909091,-14.3,-6.8090909090909095,Feb
57,3,2.0,3.0,-8.945454545454544,-10.98,-2.034545454545457,Feb
58,3,2.0,4.0,-7.518181818181817,-7.26,0.25818181818181696,Feb
59,3,2.0,5.0,-6.433333333333334,-9.940000000000001,-3.5066666666666677,Feb
60,3,3.0,1.0,-8.100000000000001,-8.524999999999999,-0.42499999999999716,Feb
61,3,3.0,2.0,-11.70909090909091,-12.766666666666667,-1.0575757575757567,Feb
62,3,3.0,3.0,-10.663636363636364,-11.233333333333334,-0.5696969696969703,Feb
63,3,3.0,4.0,-8.809090909090909,-9.083333333333334,-0.2742424242424253,Feb
64,3,3.0,5.0,-3.491666666666666,-2.95,0.5416666666666656,Feb
65,3,4.0,1.0,-5.966666666666666,-9.866666666666667,-3.9000000000000012,Feb
66,3,4.0,2.0,-11.918181818181818,-13.6,-1.6818181818181817,Feb
67,3,4.0,3.0,-9.263636363636364,-2.6,6.663636363636364,Feb
68,3,4.0,4.0,-10.309090909090909,-14.225,-3.915909090909091,Feb
69,3,4.0,5.0,-7.733333333333334,-10.3,-2.5666666666666664,Feb
70,3,5.0,1.0,-12.266666666666664,-5.1,7.166666666666664,Feb
71,3,5.0,2.0,-11.945454545454545,,,Feb
72,3,5.0,3.0,-12.036363636363637,-7.7,4.336363636363637,Feb
73,3,5.0,4.0,-12.854545454545452,,,Feb
74,3,5.0,5.0,-11.741666666666665,-9.75,1.9916666666666654,Feb
75,4,1.0,1.0,-11.933333333333332,-8.183333333333332,3.75,Feb
76,4,1.0,2.0,-5.9,-17.4,-11.499999999999998,Feb
77,4,1.0,3.0,-8.136363636363637,-6.540000000000001,1.5963636363636358,Feb
78,4,1.0,4.0,-7.8090909090909095,-9.966666666666667,-2.1575757575757573,Feb
79,4,1.0,5.0,-9.575,-6.05,3.5249999999999995,Feb
80,4,2.0,1.0,-8.45,-8.366666666666665,0.08333333333333393,Feb
81,4,2.0,2.0,-9.636363636363637,-9.585714285714285,0.05064935064935128,Feb
82,4,2.0,3.0,-9.18181818181818,-10.5,-1.3181818181818201,Feb
83,4,2.0,4.0,-9.436363636363637,-8.528571428571428,0.9077922077922089,Feb
84,4,2.0,5.0,-7.016666666666666,-6.483333333333333,0.5333333333333323,Feb
85,4,3.0,1.0,-8.575,-14.066666666666668,-5.491666666666669,Feb
86,4,3.0,2.0,-10.218181818181817,-10.575,-0.35681818181818237,Feb
87,4,3.0,3.0,-10.463636363636363,-11.674999999999999,-1.211363636363636,Feb
88,4,3.0,4.0,-8.672727272727274,-4.875,3.7977272727272737,Feb
89,4,3.0,5.0,-8.216666666666667,-6.8,1.416666666666667,Feb
90,4,4.0,1.0,-7.516666666666666,-7.3,0.2166666666666659,Feb
91,4,4.0,2.0,-12.127272727272727,-4.6499999999999995,7.4772727272727275,Feb
92,4,4.0,3.0,-7.872727272727272,-7.5200000000000005,0.35272727272727167,Feb
93,4,4.0,4.0,-7.827272727272728,-7.7,0.12727272727272787,Feb
94,4,4.0,5.0,-8.491666666666665,-9.04,-0.5483333333333338,Feb
95,4,5.0,1.0,-14.983333333333334,-13.316666666666668,1.666666666666666,Feb
96,4,5.0,2.0,-13.20909090909091,-10.4,2.8090909090909104,Feb
97,4,5.0,3.0,-11.563636363636363,-13.2,-1.6363636363636367,Feb
98,4,5.0,4.0,-12.254545454545452,-11.0,1.2545454545454522,Feb
99,4,5.0,5.0,-9.091666666666667,-7.4,1.6916666666666664,Feb
100,5,1.0,1.0,-10.524999999999999,-7.1,3.424999999999999,Feb
101,5,1.0,2.0,-6.4818181818181815,-9.566666666666666,-3.084848484848485,Feb
102,5,1.0,3.0,-7.909090909090909,-7.279999999999999,0.6290909090909098,Feb
103,5,1.0,4.0,-6.5,-8.266666666666667,-1.7666666666666675,Feb
104,5,1.0,5.0,-8.881818181818183,-8.120000000000001,0.7618181818181817,Feb
105,5,2.0,1.0,-6.633333333333332,-10.3,-3.6666666666666687,Feb
106,5,2.0,2.0,-9.027272727272727,-8.8,0.22727272727272663,Feb
107,5,2.0,3.0,-7.699999999999999,-8.1,-0.40000000000000036,Feb
108,5,2.0,4.0,-8.936363636363636,-5.540000000000001,3.3963636363636347,Feb
109,5,2.0,5.0,-6.666666666666667,-6.566666666666667,0.09999999999999964,Feb
110,5,3.0,1.0,-5.408333333333334,-2.06,3.348333333333334,Feb
111,5,3.0,2.0,-6.945454545454546,-7.9625,-1.0170454545454541,Feb
112,5,3.0,3.0,-6.7727272727272725,-7.980000000000001,-1.2072727272727288,Feb
113,5,3.0,4.0,-7.145454545454545,-7.4125000000000005,-0.2670454545454559,Feb
114,5,3.0,5.0,-3.4083333333333328,-2.2666666666666666,1.1416666666666662,Feb
115,5,4.0,1.0,-4.191666666666666,-3.95,0.24166666666666625,Feb
116,5,4.0,2.0,-5.645454545454546,-5.400000000000001,0.24545454545454515,Feb
117,5,4.0,3.0,-8.281818181818181,-8.82857142857143,-0.5467532467532479,Feb
118,5,4.0,4.0,-8.854545454545457,-9.35,-0.4954545454545425,Feb
119,5,4.0,5.0,-8.108333333333334,-8.077777777777778,0.03055555555555678,Feb
120,5,5.0,1.0,-15.275,-17.8,-2.5250000000000004,Feb
121,5,5.0,2.0,-13.309090909090912,-11.7,1.609090909090913,Feb
122,5,5.0,3.0,-10.281818181818181,-9.98,0.3018181818181809,Feb
123,5,5.0,4.0,-14.172727272727274,-14.666666666666666,-0.49393939393939235,Feb
124,5,5.0,5.0,-9.366666666666667,-9.55,-0.18333333333333357,Feb
