,Size_Index,BM_Ratio_Index,Momentum_Index,Monthly Return,ESG_High_Return,Abnormal Return,Month
0,1,1.0,1.0,-38.49166666666667,-42.86666666666667,-4.375,March
1,1,1.0,2.0,-33.845454545454544,-29.8,4.045454545454543,March
2,1,1.0,3.0,-34.099999999999994,-22.933333333333337,11.166666666666657,March
3,1,1.0,4.0,-35.527272727272724,-45.5,-9.972727272727276,March
4,1,1.0,5.0,-20.541666666666668,-1.5666666666666675,18.975,March
5,1,2.0,1.0,-10.325000000000001,-1.099999999999999,9.225000000000001,March
6,1,2.0,2.0,-14.827272727272726,-3.200000000000001,11.627272727272725,March
7,1,2.0,3.0,-21.21818181818182,-30.95,-9.73181818181818,March
8,1,2.0,4.0,-18.60909090909091,-4.725,13.88409090909091,March
9,1,2.0,5.0,-15.0,-22.433333333333334,-7.433333333333334,March
10,1,3.0,1.0,-20.874999999999996,-30.1,-9.225000000000005,March
11,1,3.0,2.0,-23.154545454545453,-27.866666666666664,-4.712121212121211,March
12,1,3.0,3.0,-14.854545454545452,-13.0,1.8545454545454518,March
13,1,3.0,4.0,-17.654545454545453,-33.6,-15.945454545454549,March
14,1,3.0,5.0,-26.708333333333332,-22.3,4.408333333333331,March
15,1,4.0,1.0,-21.2,78.4,99.60000000000001,March
16,1,4.0,2.0,-20.12727272727273,7.5,27.62727272727273,March
17,1,4.0,3.0,-33.845454545454544,,,March
18,1,4.0,4.0,-19.045454545454547,-6.6,12.445454545454547,March
19,1,4.0,5.0,-29.174999999999997,-34.95,-5.775000000000006,March
20,1,5.0,1.0,-19.333333333333332,-24.7,-5.366666666666667,March
21,1,5.0,2.0,-21.545454545454543,-13.233333333333334,8.312121212121209,March
22,1,5.0,3.0,-26.781818181818178,-38.5,-11.718181818181822,March
23,1,5.0,4.0,-40.199999999999996,-17.9,22.299999999999997,March
24,1,5.0,5.0,-32.93333333333333,,,March
25,2,1.0,1.0,-33.791666666666664,-38.3,-4.508333333333333,March
26,2,1.0,2.0,-23.38181818181818,-16.666666666666668,6.715151515151511,March
27,2,1.0,3.0,-31.383333333333336,-43.96666666666667,-12.583333333333332,March
28,2,1.0,4.0,-25.11818181818182,-28.133333333333336,-3.0151515151515156,March
29,2,1.0,5.0,-29.375,-35.43333333333334,-6.058333333333337,March
30,2,2.0,1.0,-15.283333333333331,-13.2,2.083333333333332,March
31,2,2.0,2.0,-23.281818181818185,-24.96666666666667,-1.6848484848484837,March
32,2,2.0,3.0,-16.190909090909088,-28.666666666666668,-12.47575757575758,March
33,2,2.0,4.0,-23.709090909090904,-20.166666666666668,3.542424242424236,March
34,2,2.0,5.0,-15.472727272727274,-16.5,-1.0272727272727256,March
35,2,3.0,1.0,-19.633333333333333,,,March
36,2,3.0,2.0,-20.536363636363635,-20.299999999999997,0.2363636363636381,March
37,2,3.0,3.0,-12.154545454545454,-15.2,-3.045454545454545,March
38,2,3.0,4.0,-16.036363636363635,-17.424999999999997,-1.388636363636362,March
39,2,3.0,5.0,-21.516666666666666,-18.650000000000002,2.8666666666666636,March
40,2,4.0,1.0,-33.0076923076923,-26.900000000000002,6.1076923076923,March
41,2,4.0,2.0,-16.360000000000003,-5.6,10.760000000000003,March
42,2,4.0,3.0,-25.29090909090909,-22.5,2.7909090909090892,March
43,2,4.0,4.0,-15.58181818181818,-4.55,11.031818181818181,March
44,2,4.0,5.0,-20.64166666666667,-17.799999999999997,2.841666666666672,March
45,2,5.0,1.0,-31.875000000000004,-26.366666666666664,5.50833333333334,March
46,2,5.0,2.0,-26.29090909090909,,,March
47,2,5.0,3.0,-28.09090909090909,-19.6,8.490909090909089,March
48,2,5.0,4.0,-23.436363636363637,,,March
49,2,5.0,5.0,-35.65833333333333,,,March
50,3,1.0,1.0,-29.23333333333333,-37.06666666666667,-7.833333333333339,March
51,3,1.0,2.0,-31.518181818181816,-15.700000000000001,15.818181818181815,March
52,3,1.0,3.0,-30.825000000000003,-20.85,9.975000000000001,March
53,3,1.0,4.0,-26.80909090909091,,,March
54,3,1.0,5.0,-29.75,-28.399999999999995,1.350000000000005,March
55,3,2.0,1.0,-26.791666666666668,-18.0,8.791666666666668,March
56,3,2.0,2.0,-22.12727272727273,-31.766666666666666,-9.639393939393937,March
57,3,2.0,3.0,-16.481818181818184,-10.066666666666668,6.415151515151516,March
58,3,2.0,4.0,-13.154545454545454,-11.7,1.454545454545455,March
59,3,2.0,5.0,-11.200000000000001,-16.225,-5.025,March
60,3,3.0,1.0,-22.85833333333333,-33.333333333333336,-10.475000000000005,March
61,3,3.0,2.0,-11.945454545454545,-15.849999999999998,-3.9045454545454525,March
62,3,3.0,3.0,-13.475,-14.5,-1.0250000000000004,March
63,3,3.0,4.0,-11.629999999999999,-19.2,-7.57,March
64,3,3.0,5.0,-11.933333333333332,-10.739999999999998,1.1933333333333334,March
65,3,4.0,1.0,-22.408333333333335,-34.25,-11.841666666666665,March
66,3,4.0,2.0,-17.154545454545456,-9.033333333333333,8.121212121212123,March
67,3,4.0,3.0,-18.281818181818178,-9.775,8.506818181818177,March
68,3,4.0,4.0,-16.636363636363637,-12.533333333333331,4.103030303030305,March
69,3,4.0,5.0,-18.15,-9.05,9.099999999999998,March
70,3,5.0,1.0,-43.800000000000004,-61.650000000000006,-17.85,March
71,3,5.0,2.0,-39.81818181818182,,,March
72,3,5.0,3.0,-30.15454545454546,-21.2,8.95454545454546,March
73,3,5.0,4.0,-23.6,-12.5,11.100000000000001,March
74,3,5.0,5.0,-34.46666666666666,-27.2,7.266666666666662,March
75,4,1.0,1.0,-32.38333333333334,-30.65,1.7333333333333414,March
76,4,1.0,2.0,-24.09090909090909,-19.5,4.59090909090909,March
77,4,1.0,3.0,-15.690909090909093,-16.475,-0.7840909090909083,March
78,4,1.0,4.0,-16.518181818181816,-29.150000000000002,-12.631818181818186,March
79,4,1.0,5.0,-15.466666666666667,-10.48,4.986666666666666,March
80,4,2.0,1.0,-22.233333333333338,-15.0,7.233333333333338,March
81,4,2.0,2.0,-7.609090909090909,-5.042857142857143,2.5662337662337666,March
82,4,2.0,3.0,-14.627272727272727,-17.125,-2.497727272727273,March
83,4,2.0,4.0,-15.390909090909092,-15.64,-0.24909090909090814,March
84,4,2.0,5.0,-16.441666666666666,-13.266666666666667,3.174999999999999,March
85,4,3.0,1.0,-20.0,-22.380000000000003,-2.3800000000000026,March
86,4,3.0,2.0,-21.808333333333334,-15.975000000000001,5.833333333333332,March
87,4,3.0,3.0,-12.01,-12.766666666666666,-0.7566666666666659,March
88,4,3.0,4.0,-2.681818181818182,-15.1,-12.418181818181818,March
89,4,3.0,5.0,-18.96666666666667,-17.44,1.5266666666666673,March
90,4,4.0,1.0,-36.35,-22.9,13.450000000000003,March
91,4,4.0,2.0,-20.218181818181822,3.5,23.718181818181822,March
92,4,4.0,3.0,-17.018181818181816,-20.349999999999998,-3.331818181818182,March
93,4,4.0,4.0,-15.327272727272726,-10.2,5.127272727272727,March
94,4,4.0,5.0,-11.841666666666667,-7.140000000000001,4.701666666666666,March
95,4,5.0,1.0,-46.25,-37.125,9.125,March
96,4,5.0,2.0,-29.263636363636362,-25.11666666666667,4.146969696969691,March
97,4,5.0,3.0,-31.972727272727273,-33.1,-1.1272727272727288,March
98,4,5.0,4.0,-25.75833333333333,-25.674999999999997,0.08333333333333215,March
99,4,5.0,5.0,-21.999999999999996,-25.0,-3.0000000000000036,March
100,5,1.0,1.0,-13.008333333333335,-16.925,-3.916666666666666,March
101,5,1.0,2.0,-17.045454545454547,-21.575,-4.5295454545454525,March
102,5,1.0,3.0,-10.891666666666666,-5.262499999999999,5.629166666666666,March
103,5,1.0,4.0,-13.372727272727273,-11.76,1.6127272727272732,March
104,5,1.0,5.0,-13.35,-9.333333333333334,4.016666666666666,March
105,5,2.0,1.0,-13.133333333333335,-9.066666666666666,4.066666666666668,March
