,Size_Index,BM_Ratio_Index,Momentum_Index,Monthly Return,ESG_High_Return,Abnormal Return,Month
0,1,1.0,1.0,-6.691666666666666,-17.599999999999998,-10.908333333333331,Sep
1,1,1.0,2.0,-8.036363636363633,1.55,9.586363636363634,Sep
2,1,1.0,3.0,-7.708333333333332,-7.300000000000001,0.40833333333333144,Sep
3,1,1.0,4.0,-4.527272727272727,2.9000000000000004,7.427272727272728,Sep
4,1,1.0,5.0,-3.2416666666666667,7.1499999999999995,10.391666666666666,Sep
5,1,2.0,1.0,4.925,7.0,2.075,Sep
6,1,2.0,2.0,-5.7,7.6,13.3,Sep
7,1,2.0,3.0,-5.081818181818182,-10.866666666666667,-5.784848484848485,Sep
8,1,2.0,4.0,-4.190909090909091,-4.7,-0.5090909090909088,Sep
9,1,2.0,5.0,1.0333333333333332,-8.0,-9.033333333333333,Sep
10,1,3.0,1.0,-7.558333333333333,-34.2,-26.64166666666667,Sep
11,1,3.0,2.0,-4.5636363636363635,-1.8666666666666665,2.6969696969696972,Sep
12,1,3.0,3.0,-8.272727272727273,-7.3,0.9727272727272736,Sep
13,1,3.0,4.0,-2.272727272727273,-3.8,-1.527272727272727,Sep
14,1,3.0,5.0,-7.241666666666666,-0.1499999999999999,7.091666666666667,Sep
15,1,4.0,1.0,-8.616666666666667,-10.0,-1.3833333333333329,Sep
16,1,4.0,2.0,-10.42727272727273,,,Sep
17,1,4.0,3.0,-9.263636363636364,4.5,13.763636363636364,Sep
18,1,4.0,4.0,-8.1,,,Sep
19,1,4.0,5.0,-3.6833333333333336,3.6,7.283333333333333,Sep
20,1,5.0,1.0,-10.600000000000001,,,Sep
21,1,5.0,2.0,-12.445454545454545,,,Sep
22,1,5.0,3.0,-8.541666666666666,-9.25,-0.7083333333333339,Sep
23,1,5.0,4.0,-0.3636363636363638,,,Sep
24,1,5.0,5.0,-2.875,-10.4,-7.525,Sep
25,2,1.0,1.0,-5.866666666666667,-10.333333333333334,-4.466666666666667,Sep
26,2,1.0,2.0,-5.363636363636365,-5.2,0.1636363636363649,Sep
27,2,1.0,3.0,-7.891666666666668,-5.9,1.991666666666668,Sep
28,2,1.0,4.0,3.1363636363636362,-2.2,-5.336363636363636,Sep
29,2,1.0,5.0,-7.483333333333333,-0.6500000000000004,6.833333333333333,Sep
30,2,2.0,1.0,-2.0500000000000003,11.575,13.625,Sep
31,2,2.0,2.0,-2.1363636363636367,1.35,3.4863636363636368,Sep
32,2,2.0,3.0,-6.109090909090909,-8.299999999999999,-2.1909090909090896,Sep
33,2,2.0,4.0,-6.545454545454546,-10.85,-4.304545454545454,Sep
34,2,2.0,5.0,-2.9083333333333337,0.7000000000000002,3.608333333333334,Sep
35,2,3.0,1.0,-7.666666666666667,-7.766666666666666,-0.09999999999999876,Sep
36,2,3.0,2.0,-5.036363636363635,-5.9,-0.8636363636363651,Sep
37,2,3.0,3.0,-0.3545454545454547,-0.8,-0.4454545454545453,Sep
