,iso_code,new_cases
2019/12/31,USA,0
2020/1/1,USA,0
2020/1/2,USA,0
2020/1/3,USA,0
2020/1/4,USA,0
2020/1/5,USA,0
2020/1/6,USA,0
2020/1/7,USA,0
2020/1/8,USA,0
2020/1/9,USA,0
2020/1/10,USA,0
2020/1/11,USA,0
2020/1/12,USA,0
2020/1/13,USA,0
2020/1/14,USA,0
2020/1/15,USA,0
2020/1/16,USA,0
2020/1/17,USA,0
2020/1/18,USA,0
2020/1/19,USA,0
2020/1/20,USA,0
2020/1/21,USA,1
2020/1/22,USA,0
2020/1/23,USA,0
2020/1/24,USA,0
2020/1/25,USA,1
2020/1/26,USA,0
2020/1/27,USA,3
2020/1/28,USA,0
2020/1/29,USA,0
2020/1/30,USA,0
2020/1/31,USA,1
2020/2/1,USA,1
2020/2/2,USA,1
2020/2/3,USA,3
2020/2/4,USA,0
2020/2/5,USA,0
2020/2/6,USA,1
2020/2/7,USA,0
2020/2/8,USA,0
2020/2/9,USA,0
2020/2/10,USA,0
2020/2/11,USA,1
2020/2/12,USA,0
2020/2/13,USA,1
2020/2/14,USA,1
2020/2/15,USA,0
2020/2/16,USA,0
2020/2/17,USA,0
2020/2/18,USA,0
2020/2/19,USA,0
2020/2/20,USA,0
2020/2/21,USA,1
2020/2/22,USA,19
2020/2/23,USA,0
2020/2/24,USA,0
2020/2/25,USA,18
2020/2/26,USA,0
2020/2/27,USA,6
2020/2/28,USA,1
2020/2/29,USA,6
2020/3/1,USA,3
2020/3/2,USA,20
2020/3/3,USA,14
2020/3/4,USA,22
2020/3/5,USA,34
2020/3/6,USA,74
2020/3/7,USA,105
2020/3/8,USA,95
2020/3/9,USA,121
2020/3/10,USA,200
2020/3/11,USA,271
2020/3/12,USA,287
2020/3/13,USA,351
2020/3/14,USA,511
2020/3/15,USA,777
2020/3/16,USA,823
2020/3/17,USA,887
2020/3/18,USA,1766
2020/3/19,USA,2988
2020/3/20,USA,4835
2020/3/21,USA,5374
2020/3/22,USA,7123
2020/3/23,USA,8459
2020/3/24,USA,11236
2020/3/25,USA,8789
2020/3/26,USA,13963
2020/3/27,USA,16797
2020/3/28,USA,18695
2020/3/29,USA,19979
2020/3/30,USA,18360
2020/3/31,USA,21595
2020/4/1,USA,24998
2020/4/2,USA,27103
2020/4/3,USA,28819
2020/4/4,USA,32425
2020/4/5,USA,34272
2020/4/6,USA,25398
2020/4/7,USA,30561
2020/4/8,USA,30613
2020/4/9,USA,33323
2020/4/10,USA,33901
2020/4/11,USA,35527
2020/4/12,USA,28391
2020/4/13,USA,27620
2020/4/14,USA,25023
2020/4/15,USA,26922
2020/4/16,USA,30148
2020/4/17,USA,31667
2020/4/18,USA,30833
2020/4/19,USA,32922
2020/4/20,USA,24601
2020/4/21,USA,28065
2020/4/22,USA,37289
2020/4/23,USA,17588
2020/4/24,USA,26543
2020/4/25,USA,21352
2020/4/26,USA,48529
2020/4/27,USA,26857
2020/4/28,USA,22541
2020/4/29,USA,24132
2020/4/30,USA,27326
2020/5/1,USA,29917
2020/5/2,USA,33955
