Symbol,Name,Stock Exchange,Company Main Business,Size,Book Value Per Shr Tangble,Common Shares Outstdg,MktVal Co,Book to Market Ratio,Momentum,Monthly Return,Sales,MSCI ESG Rtg Score Environmental,MSCI ESG Rtg Score Governance,MSCI ESG Rtg Score Social,MSCI ESG Rtg Overall Company Rating,1 MktVal Co,1 Closing Price,2 MktVal Co,2 Closing Price,3 MktVal Co,3 Closing Price,4 MktVal Co,4 Closing Price,5 MktVal Co,5 Closing Price,6 MktVal Co,6 Closing Price,7 MktVal Co,7 Closing Price,8 MktVal Co,8 Closing Price,9 MktVal Co,9 Closing Price,10 MktVal Co,10 Closing Price,11 MktVal Co,11 Closing Price,12 MktVal Co,12 Closing Price,13 MktVal Co,13 Closing Price,14 MktVal Co,14 Closing Price,15 MktVal Co,15 Closing Price,16 MktVal Co,16 Closing Price,17 MktVal Co,17 Closing Price,18 MktVal Co,18 Closing Price,19 MktVal Co,19 Closing Price,20 MktVal Co,20 Closing Price,21 MktVal Co,21 Closing Price,22 MktVal Co,22 Closing Price,23 MktVal Co,23 Closing Price,24 MktVal Co,24 Closing Price,25 MktVal Co,25 Closing Price,26 MktVal Co,26 Closing Price,27 MktVal Co,27 Closing Price,28 MktVal Co,28 Closing Price,29 MktVal Co,29 Closing Price,30 MktVal Co,30 Closing Price,STD MktVal,STD Closing Price,1 Price Chg (LOCAL),2 Price Chg (LOCAL),3 Price Chg (LOCAL),4 Price Chg (LOCAL),5 Price Chg (LOCAL),6 Price Chg (LOCAL),7 Price Chg (LOCAL),8 Price Chg (LOCAL),9 Price Chg (LOCAL),10 Price Chg (LOCAL),11 Price Chg (LOCAL),12 Price Chg (LOCAL),13 Price Chg (LOCAL),14 Price Chg (LOCAL),15 Price Chg (LOCAL),16 Price Chg (LOCAL),17 Price Chg (LOCAL),18 Price Chg (LOCAL),19 Price Chg (LOCAL),20 Price Chg (LOCAL),21 Price Chg (LOCAL),22 Price Chg (LOCAL),23 Price Chg (LOCAL),24 Price Chg (LOCAL),25 Price Chg (LOCAL),26 Price Chg (LOCAL),27 Price Chg (LOCAL),28 Price Chg (LOCAL),29 Price Chg (LOCAL),30 Price Chg (LOCAL)
A,"Agilent Technologies, Inc.",NYSE,Healthcare,"22,177.2",0.5,309.7,"26,461.7",0.0,-3.8,11.2,"5,223.0",10.0,5.5,6.6,AAA,"21,341.2",68.9,"22,384.7",72.3,"21,805.6",70.4,"21,805.6",70.4,"21,805.6",70.4,"23,025.7",74.4,"22,923.5",74.0,"23,747.1",76.7,"24,255.0",78.3,"24,255.0",78.3,"24,255.0",78.3,"24,255.0",78.3,"23,598.5",76.2,"24,409.8",78.8,"23,858.6",77.1,"24,385.0",78.8,"24,632.7",79.6,"24,632.7",79.6,"24,632.7",79.6,"23,957.7",77.4,"22,836.8",73.8,"23,276.5",75.2,"23,251.7",75.1,"23,456.1",75.8,"23,456.1",75.8,"23,456.1",75.8,"23,610.9",76.3,"23,363.2",75.5,"24,375.7",78.7,"23,737.9",76.7,921.7,3.0,-3.8,4.9,-2.6,0.0,0.0,5.6,-0.4,3.6,2.1,0.0,0.0,0.0,-2.7,3.4,-2.3,2.2,1.0,0.0,0.0,-2.7,-4.7,1.9,-0.1,0.9,0.0,0.0,0.7,-1.0,4.3,-2.6
AAL,"American Airlines Group, Inc.",NASDAQ,Industrials,"5,193.7",-14.7,428.2,"12,280.8",-0.5,-12.3,12.3,"33,361.0",3.3,5.1,2.5,CCC,"4,554.6",10.7,"4,286.2",10.1,"4,000.7",9.4,"4,000.7",9.4,"4,000.7",9.4,"4,047.6",9.5,"4,354.3",10.2,"4,827.2",11.3,"5,330.0",12.5,"5,330.0",12.5,"5,330.0",12.5,"5,330.0",12.5,"4,925.2",11.6,"5,089.3",11.9,"5,236.3",12.3,"4,716.5",11.1,"4,929.5",11.6,"4,929.5",11.6,"4,929.5",11.6,"4,712.2",11.1,"4,686.6",11.0,"4,375.6",10.3,"4,367.1",10.3,"4,360.0",10.3,"4,360.0",10.3,"4,360.0",10.3,"4,237.4",10.0,"4,761.8",11.3,"5,341.2",12.6,"5,079.0",12.0,446.9,1.0,-12.3,-5.9,-6.7,0.0,0.0,1.2,7.6,10.9,10.4,0.0,0.0,0.0,-7.6,3.3,2.9,-9.9,4.5,0.0,0.0,-4.4,-0.5,-6.6,-0.2,0.6,0.0,0.0,-2.8,12.4,12.2,-4.9
AAN,"Aaron's, Inc.",NYSE,Consumer Cyclicals,"1,520.5",12.1,66.7,"3,835.1",0.2,-13.3,61.7,"4,098.8",3.4,6.0,4.8,A,"1,317.5",19.7,"1,279.5",19.2,"1,242.8",18.6,"1,242.8",18.6,"1,242.8",18.6,"1,477.7",22.1,"1,527.1",22.9,"1,579.9",23.7,"1,684.6",25.2,"1,684.6",25.2,"1,684.6",25.2,"1,684.6",25.2,"1,668.2",24.7,"1,754.0",26.0,"1,570.9",23.3,"1,554.7",23.0,"1,661.4",24.6,"1,661.4",24.6,"1,661.4",24.6,"1,669.6",24.7,"1,571.6",23.3,"1,595.9",23.6,"1,631.0",24.1,"1,736.4",25.7,"1,736.4",25.7,"1,736.4",25.7,"1,812.1",26.8,"1,887.1",27.9,"2,184.4",32.3,"2,156.0",31.9,225.2,3.3,-13.3,-2.9,-2.9,0.0,0.0,18.9,3.3,3.5,6.6,0.0,0.0,0.0,-2.2,5.1,-10.4,-1.0,6.9,0.0,0.0,0.5,-5.9,1.5,2.2,6.5,0.0,0.0,4.4,4.1,15.8,-1.3
AAOI,"Applied Optoelectronics, Inc.",NASDAQ,Technology,153.6,13.4,20.1,239.0,1.1,-3.6,46.4,200.4,#N/A,#N/A,#N/A,@NA,148.1,7.3,155.6,7.7,150.7,7.5,150.7,7.5,150.7,7.5,160.2,7.9,160.6,7.9,162.1,8.0,157.0,7.8,157.0,7.8,157.0,7.8,157.0,7.8,161.6,8.0,165.7,8.2,176.4,8.7,173.8,8.6,170.7,8.4,170.7,8.4,170.7,8.4,169.3,8.4,167.5,8.3,170.3,8.4,177.2,8.8,184.1,9.1,184.1,9.1,184.1,9.1,197.9,9.8,197.7,9.8,222.4,11.0,217.1,10.7,18.6,0.9,-3.6,5.1,-3.1,0.0,0.0,6.3,0.3,0.9,-3.1,0.0,0.0,0.0,3.0,2.5,6.5,-1.5,-1.7,0.0,0.0,-0.8,-1.1,1.7,4.0,3.8,0.0,0.0,7.5,-0.1,12.5,-2.4
AAON,"AAON, Inc.",NASDAQ,Industrials,"2,517.1",5.5,52.1,"2,574.2",0.1,-3.0,1.6,499.2,5.5,7.0,8.4,A,"2,442.1",46.9,"2,506.8",48.2,"2,337.6",44.9,"2,337.6",44.9,"2,337.6",44.9,"2,510.4",48.2,"2,443.8",47.0,"2,553.1",49.1,"2,493.8",47.9,"2,493.8",47.9,"2,493.8",47.9,"2,493.8",47.9,"2,486.0",47.8,"2,469.3",47.4,"2,426.6",46.6,"2,369.4",45.5,"2,490.6",47.9,"2,490.6",47.9,"2,490.6",47.9,"2,414.1",46.4,"2,331.9",44.8,"2,372.5",45.6,"2,496.9",48.0,"2,481.3",47.7,"2,481.3",47.7,"2,481.3",47.7,"2,501.1",48.1,"2,515.1",48.3,"2,526.0",48.5,"2,479.7",47.6,62.9,1.2,-3.0,2.7,-6.7,0.0,0.0,7.4,-2.7,4.5,-2.3,0.0,0.0,0.0,-0.3,-0.7,-1.7,-2.4,5.1,0.0,0.0,-3.1,-3.4,1.7,5.2,-0.6,0.0,0.0,0.8,0.6,0.4,-1.8
AAP,"Advance Auto Parts, Inc.",NYSE,Consumer Cyclicals,"6,461.3",26.7,69.2,"11,092.6",0.2,-4.4,35.6,"9,624.0",2.0,5.9,4.6,BBB,"6,174.0",89.2,"6,121.3",88.4,"5,848.4",84.7,"5,848.4",84.7,"5,848.4",84.7,"6,619.4",95.8,"6,870.2",99.4,"7,083.0",102.5,"7,382.9",106.9,"7,382.9",106.9,"7,382.9",106.9,"7,382.9",106.9,"7,599.8",110.0,"7,972.2",115.4,"7,737.3",112.0,"8,120.0",117.5,"8,211.9",118.9,"8,211.9",118.9,"8,211.9",118.9,"7,972.9",115.4,"7,842.3",113.5,"7,808.4",113.0,"7,834.0",113.4,"8,124.2",117.6,"8,124.2",117.6,"8,124.2",117.6,"8,218.1",119.0,"8,357.7",121.0,"8,629.9",124.9,"8,353.6",120.9,838.8,12.2,-4.4,-0.9,-4.3,0.0,0.0,13.2,3.8,3.1,4.2,0.0,0.0,0.0,2.9,4.9,-2.9,4.9,1.1,0.0,0.0,-2.9,-1.6,-0.4,0.3,3.7,0.0,0.0,1.2,1.7,3.3,-3.2
AAPL,Apple Inc.,NASDAQ,Technology,"1,112,641.0",5.1,"17,539.8","1,304,765.0",0.1,-5.3,22.0,"273,420.0",3.8,4.6,5.5,A,"1,054,097.0",60.2,"1,071,686.0",61.2,"1,056,285.0",60.4,"1,056,285.0",60.4,"1,056,285.0",60.4,"1,148,432.0",65.6,"1,135,131.0",64.9,"1,164,184.0",66.5,"1,172,585.0",67.0,"1,172,585.0",67.0,"1,172,585.0",67.0,"1,172,585.0",67.0,"1,195,600.0",68.3,"1,255,982.0",71.8,"1,244,518.0",71.1,"1,254,406.0",71.7,"1,237,386.0",70.7,"1,237,386.0",70.7,"1,237,386.0",70.7,"1,211,702.0",69.2,"1,174,248.0",67.1,"1,208,070.0",69.0,"1,203,388.0",68.8,"1,238,130.0",70.7,"1,238,130.0",70.7,"1,238,130.0",70.7,"1,239,005.0",70.8,"1,218,921.0",69.6,"1,258,957.0",71.9,"1,285,516.0",73.5,"68,477.2",3.9,-5.3,1.7,-1.4,0.0,0.0,8.7,-1.2,2.6,0.7,0.0,0.0,0.0,2.0,5.1,-0.9,0.8,-1.4,0.0,0.0,-2.1,-3.1,2.9,-0.4,2.9,0.0,0.0,0.1,-1.6,3.3,2.1
AAT,"American Assets Trust, Inc.",NYSE,Finance,"1,501.7",20.6,60.1,"2,752.0",0.4,-9.6,25.3,370.9,6.3,6.2,1.4,BB,"1,357.5",22.6,"1,363.5",22.7,"1,290.3",21.5,"1,290.3",21.5,"1,290.3",21.5,"1,420.6",23.7,"1,482.5",24.7,"1,606.8",26.8,"1,777.4",29.6,"1,777.4",29.6,"1,777.4",29.6,"1,777.4",29.6,"1,699.9",28.3,"1,764.2",29.4,"1,612.8",26.9,"1,537.1",25.6,"1,576.8",26.3,"1,576.8",26.3,"1,576.8",26.3,"1,534.7",25.6,"1,529.3",25.5,"1,570.8",26.2,"1,569.6",26.1,"1,560.6",26.0,"1,560.6",26.0,"1,560.6",26.0,"1,657.3",27.6,"1,743.2",29.0,"1,767.2",29.4,"1,701.1",28.3,153.0,2.5,-9.6,0.4,-5.4,0.0,0.0,10.1,4.4,8.4,10.6,0.0,0.0,0.0,-4.4,3.8,-8.6,-4.7,2.6,0.0,0.0,-2.7,-0.4,2.7,-0.1,-0.6,0.0,0.0,6.2,5.2,1.4,-3.7
AAWW,"Atlas Air Worldwide Holdings, Inc.",NASDAQ,Industrials,666.3,66.3,25.9,713.3,2.4,-6.7,37.2,"2,864.3",1.8,6.3,6.7,B,621.7,24.0,610.0,23.5,523.6,20.2,523.6,20.2,523.6,20.2,570.3,22.0,600.6,23.1,635.2,24.5,657.8,25.3,657.8,25.3,657.8,25.3,657.8,25.3,627.1,24.2,666.6,25.7,620.1,23.9,621.9,24.0,641.7,24.7,641.7,24.7,641.7,24.7,639.3,24.6,699.0,26.9,720.3,27.8,724.7,27.9,771.4,29.7,771.4,29.7,771.4,29.7,816.1,31.4,834.0,31.9,917.0,35.1,858.3,32.9,98.0,3.7,-6.7,-1.9,-14.2,0.0,0.0,8.9,5.3,5.7,3.6,0.0,0.0,0.0,-4.7,6.3,-7.0,0.3,3.2,0.0,0.0,-0.4,9.3,3.0,0.6,6.4,0.0,0.0,5.8,1.5,10.0,-6.4
AAXN,Axon Enterprise Inc,NASDAQ,Industrials,"4,212.8",8.5,59.5,"4,348.5",0.1,-8.5,12.3,591.1,3.6,5.9,4.1,A,"3,852.7",64.7,"3,728.8",62.6,"3,661.6",61.5,"3,661.6",61.5,"3,661.6",61.5,"4,047.9",68.0,"4,124.6",69.0,"4,335.2",72.5,"4,468.0",74.7,"4,468.0",74.7,"4,468.0",74.7,"4,468.0",74.7,"4,395.6",73.5,"4,582.8",76.6,"4,433.9",74.1,"4,353.4",72.8,"4,589.7",76.7,"4,589.7",76.7,"4,589.7",76.7,"4,593.3",76.8,"4,223.6",70.6,"4,386.9",73.3,"4,232.5",70.8,"4,297.8",71.8,"4,297.8",71.8,"4,297.8",71.8,"4,316.3",72.2,"4,507.1",75.3,"4,501.2",75.2,"4,349.8",72.7,293.6,4.8,-8.5,-3.2,-1.8,0.0,0.0,10.6,1.4,5.1,3.1,0.0,0.0,0.0,-1.6,4.3,-3.2,-1.8,5.4,0.0,0.0,0.1,-8.0,3.9,-3.5,1.5,0.0,0.0,0.4,4.4,-0.1,-3.4
ABBV,"AbbVie, Inc.",NYSE,Healthcare,"112,507.7",-28.7,"1,478.9","130,934.8",-0.3,-3.6,13.6,"36,227.0",7.3,5.8,4.0,A,"108,417.3",73.4,"110,942.4",75.1,"108,343.5",73.4,"108,343.5",73.4,"108,343.5",73.4,"111,828.5",75.7,"111,326.4",75.4,"116,007.4",78.6,"117,764.7",79.8,"117,764.7",79.8,"117,764.7",79.8,"117,764.7",79.8,"118,576.8",80.3,"121,279.1",82.1,"120,821.4",81.8,"120,880.5",81.9,"123,228.4",83.5,"123,228.4",83.5,"123,228.4",83.5,"124,025.8",84.0,"118,665.4",80.4,"120,304.5",81.5,"121,146.3",82.0,"123,435.1",83.6,"123,435.1",83.6,"123,435.1",83.6,"125,059.4",84.7,"122,209.5",82.8,"123,686.1",83.8,"121,382.5",82.2,"5,458.7",3.7,-3.6,2.3,-2.3,0.0,0.0,3.2,-0.4,4.2,1.5,0.0,0.0,0.0,0.7,2.3,-0.4,0.0,1.9,0.0,0.0,0.6,-4.3,1.4,0.7,1.9,0.0,0.0,1.3,-2.3,1.2,-1.9
