Symbol,Name,Stock Exchange,Company Main Business,Size,Book Value Per Shr Tangble,Common Shares Outstdg,MktVal Co,Book to Market Ratio,Momentum,Monthly Return,Sales,MSCI ESG Rtg Score Environmental,MSCI ESG Rtg Score Governance,MSCI ESG Rtg Score Social,MSCI ESG Rtg Overall Company Rating,1 MktVal Co,1 Closing Price,2 MktVal Co,2 Closing Price,3 MktVal Co,3 Closing Price,4 MktVal Co,4 Closing Price,5 MktVal Co,5 Closing Price,6 MktVal Co,6 Closing Price,7 MktVal Co,7 Closing Price,8 MktVal Co,8 Closing Price,9 MktVal Co,9 Closing Price,10 MktVal Co,10 Closing Price,11 MktVal Co,11 Closing Price,12 MktVal Co,12 Closing Price,13 MktVal Co,13 Closing Price,14 MktVal Co,14 Closing Price,15 MktVal Co,15 Closing Price,16 MktVal Co,16 Closing Price,17 MktVal Co,17 Closing Price,18 MktVal Co,18 Closing Price,19 MktVal Co,19 Closing Price,20 MktVal Co,20 Closing Price,21 MktVal Co,21 Closing Price,22 MktVal Co,22 Closing Price,23 MktVal Co,23 Closing Price,24 MktVal Co,24 Closing Price,25 MktVal Co,25 Closing Price,26 MktVal Co,26 Closing Price,27 MktVal Co,27 Closing Price,28 MktVal Co,28 Closing Price,29 MktVal Co,29 Closing Price,30 MktVal Co,30 Closing Price,31 MktVal Co,31 Closing Price,STD MktVal,STD Closing Price
A,"Agilent Technologies, Inc.",NYSE,Healthcare,"29,744.5",0.5,309.7,"26,461.7",0.0,40.2,4.2,"5,223.0",10.0,5.5,6.6,AAA,"29,744.5",96.3,"29,744.5",96.3,"30,596.8",99.1,"30,115.1",97.5,"30,226.2",97.9,"30,090.4",97.5,"30,192.3",97.8,"30,192.3",97.8,"30,192.3",97.8,"29,994.6",97.1,"29,735.3",96.3,"30,145.9",97.6,"30,497.9",98.8,"30,065.7",97.4,"30,065.7",97.4,"30,065.7",97.4,"30,108.9",97.5,"30,217.0",97.9,"30,247.8",98.0,"30,192.3",97.8,"30,352.8",98.3,"30,352.8",98.3,"30,352.8",98.3,"30,136.7",97.6,"30,365.2",98.3,"30,670.9",99.3,"30,575.1",99.0,"30,846.9",99.9,"30,846.9",99.9,"30,846.9",99.9,"31,007.4",100.4,324.7,1.1
AAL,"American Airlines Group, Inc.",NASDAQ,Industrials,"5,655.2",-14.7,428.2,"12,280.8",-0.5,-61.7,17.4,"33,361.0",3.3,5.1,2.5,CCC,"5,655.2",11.1,"5,655.2",11.1,"5,634.9",11.1,"5,833.2",11.5,"6,387.5",12.6,"6,631.6",13.0,"6,626.6",13.0,"6,626.6",13.0,"6,626.6",13.0,"7,119.9",14.0,"6,982.5",13.7,"6,885.9",13.5,"6,763.9",13.3,"6,779.1",13.3,"6,779.1",13.3,"6,779.1",13.3,"6,418.0",12.6,"6,407.9",12.6,"6,448.6",12.7,"6,357.0",12.5,"6,184.1",12.2,"6,184.1",12.2,"6,184.1",12.2,"6,835.1",13.4,"6,682.5",13.1,"6,502.0",12.8,"6,753.7",13.3,"6,911.4",13.6,"6,911.4",13.6,"6,911.4",13.6,"6,636.7",13.1,401.3,0.8
AAN,"Aaron's, Inc.",NYSE,Consumer Cyclicals,"3,503.4",12.1,66.7,"3,835.1",0.2,-16.4,7.1,"4,098.8",3.4,6.0,4.8,A,"3,503.4",52.2,"3,503.4",52.2,"3,464.5",51.6,"3,505.4",52.2,"3,617.5",53.9,"3,646.4",54.3,"3,667.2",54.6,"3,667.2",54.6,"3,667.2",54.6,"3,816.9",56.9,"3,844.5",57.3,"3,974.7",59.2,"3,921.7",58.4,"3,925.0",58.5,"3,925.0",58.5,"3,925.0",58.5,"3,851.2",57.4,"3,802.2",56.6,"3,825.0",57.0,"3,808.2",56.7,"3,808.2",56.7,"3,808.2",56.7,"3,808.2",56.7,"3,900.9",58.1,"3,823.7",57.0,"3,789.4",56.4,"3,821.6",56.9,"3,821.6",56.9,"3,821.6",56.9,"3,821.6",56.9,"3,752.5",55.9,137.6,2.1
AAOI,"Applied Optoelectronics, Inc.",NASDAQ,Technology,323.6,13.4,20.1,239.0,1.1,43.1,-18.2,200.4,#N/A,#N/A,#N/A,@NA,323.6,14.2,323.6,14.2,365.7,16.1,372.6,16.4,366.9,16.1,342.7,15.1,359.8,15.8,359.8,15.8,359.8,15.8,314.7,13.8,309.0,13.6,304.7,13.4,306.5,13.5,302.4,13.3,302.4,13.3,302.4,13.3,304.0,13.4,296.5,13.0,298.1,13.1,286.3,12.6,265.3,11.7,265.3,11.7,265.3,11.7,265.3,11.7,273.3,12.0,268.5,11.8,263.0,11.6,265.3,11.7,265.3,11.7,265.3,11.7,264.9,11.6,36.8,1.6
AAON,"AAON, Inc.",NASDAQ,Industrials,"3,082.9",5.5,52.1,"2,574.2",0.1,14.9,-3.9,499.2,5.5,7.0,8.4,A,"3,082.9",59.3,"3,082.9",59.3,"3,138.5",60.3,"3,105.8",59.7,"3,120.9",60.0,"2,974.7",56.9,"3,062.0",58.6,"3,062.0",58.6,"3,062.0",58.6,"3,107.0",59.5,"3,136.7",60.0,"3,114.3",59.6,"3,091.3",59.2,"3,021.2",57.8,"3,021.2",57.8,"3,021.2",57.8,"3,108.0",59.5,"3,123.2",59.8,"3,108.0",59.5,"3,066.7",58.7,"3,061.5",58.6,"3,061.5",58.6,"3,061.5",58.6,"3,066.7",58.7,"3,045.3",58.3,"3,030.7",58.0,"3,029.6",58.0,"3,004.5",57.5,"3,004.5",57.5,"3,004.5",57.5,"2,975.3",56.9,46.1,0.9
AAP,"Advance Auto Parts, Inc.",NYSE,Consumer Cyclicals,"10,374.9",26.7,69.2,"11,092.6",0.2,0.5,4.1,"9,624.0",2.0,5.9,4.6,BBB,"10,374.9",150.1,"10,374.9",150.1,"10,541.4",152.6,"10,558.0",152.8,"10,484.0",151.7,"10,491.6",151.8,"10,501.3",152.0,"10,501.3",152.0,"10,501.3",152.0,"10,594.6",153.3,"10,499.2",151.9,"10,660.9",154.3,"10,779.1",156.0,"10,963.6",158.7,"10,963.6",158.7,"10,963.6",158.7,"11,125.3",161.0,"11,259.3",162.9,"11,118.2",160.8,"10,885.2",157.4,"10,793.3",156.1,"10,793.3",156.1,"10,793.3",156.1,"10,864.5",157.1,"10,789.8",156.1,"10,818.8",156.5,"10,697.2",154.7,"10,700.6",154.8,"10,700.6",154.8,"10,700.6",154.8,"10,807.1",156.3,223.3,3.2
AAPL,Apple Inc.,NASDAQ,Technology,"1,817,315.0",5.1,"17,539.8","1,304,765.0",0.1,105.4,21.6,"273,420.0",3.8,4.6,5.5,A,"1,817,315.0",106.3,"1,817,315.0",106.3,"1,863,107.0",108.9,"1,875,550.0",109.7,"1,882,348.0",110.1,"1,948,022.0",113.9,"1,900,306.0",111.1,"1,900,306.0",111.1,"1,900,306.0",111.1,"1,927,926.0",112.7,"1,870,590.0",109.4,"1,932,758.0",113.0,"1,966,963.0",115.0,"1,965,210.0",114.9,"1,965,210.0",114.9,"1,965,210.0",114.9,"1,960,079.0",114.6,"1,976,412.0",115.6,"1,978,892.0",115.7,"2,022,802.0",118.3,"2,127,042.0",124.4,"2,127,042.0",124.4,"2,127,042.0",124.4,"2,152,482.0",125.9,"2,134,824.0",124.8,"2,163,856.0",126.5,"2,137,988.0",125.0,"2,134,525.0",124.8,"2,134,525.0",124.8,"2,134,525.0",124.8,"2,237,210.0",129.0,"119,423.6",6.9
AAT,"American Assets Trust, Inc.",NYSE,Finance,"1,622.0",20.6,60.1,"2,752.0",0.4,-39.9,-5.4,370.9,6.3,6.2,1.4,BB,"1,622.0",27.0,"1,622.0",27.0,"1,601.6",26.7,"1,640.0",27.3,"1,621.4",27.0,"1,629.2",27.1,"1,641.8",27.3,"1,641.8",27.3,"1,641.8",27.3,"1,671.3",27.8,"1,672.5",27.8,"1,661.6",27.7,"1,642.4",27.3,"1,631.6",27.2,"1,631.6",27.2,"1,631.6",27.2,"1,614.2",26.9,"1,571.5",26.2,"1,519.3",25.3,"1,537.9",25.6,"1,501.2",25.0,"1,501.2",25.0,"1,501.2",25.0,"1,548.1",25.8,"1,538.5",25.6,"1,520.5",25.3,"1,552.9",25.9,"1,545.1",25.7,"1,545.1",25.7,"1,545.1",25.7,"1,534.9",25.6,55.9,0.9
AAWW,"Atlas Air Worldwide Holdings, Inc.",NASDAQ,Industrials,"1,360.7",66.3,25.9,713.3,2.4,51.4,8.3,"2,864.3",1.8,6.3,6.7,B,"1,360.7",52.1,"1,360.7",52.1,"1,392.8",53.3,"1,455.8",55.7,"1,508.8",57.8,"1,467.4",56.1,"1,543.9",59.1,"1,543.9",59.1,"1,543.9",59.1,"1,566.9",60.0,"1,563.5",59.8,"1,568.4",60.0,"1,570.3",60.1,"1,570.3",60.1,"1,570.3",60.1,"1,570.3",60.1,"1,549.1",59.3,"1,530.3",58.6,"1,538.1",58.9,"1,543.1",59.0,"1,508.6",57.7,"1,508.6",57.7,"1,508.6",57.7,"1,502.6",57.5,"1,499.4",57.4,"1,472.0",56.3,"1,474.1",56.4,"1,494.7",57.2,"1,494.7",57.2,"1,494.7",57.2,"1,473.8",56.4,57.5,2.2
AAXN,Axon Enterprise Inc,NASDAQ,Industrials,"5,276.0",8.5,59.5,"4,348.5",0.1,21.5,3.1,591.1,3.6,5.9,4.1,A,"5,276.0",83.1,"5,276.0",83.1,"5,616.8",88.5,"5,680.9",89.5,"5,879.5",92.6,"5,818.0",91.7,"5,324.3",83.9,"5,324.3",83.9,"5,324.3",83.9,"5,277.4",83.1,"5,029.2",79.2,"5,062.8",79.8,"5,104.1",80.4,"5,051.4",79.6,"5,051.4",79.6,"5,051.4",79.6,"5,053.9",79.6,"5,036.8",79.4,"5,139.0",81.0,"5,189.1",81.8,"5,243.7",82.6,"5,243.7",82.6,"5,243.7",82.6,"5,284.3",83.3,"5,410.0",85.2,"5,407.5",85.2,"5,420.2",85.4,"5,321.8",83.8,"5,321.8",83.8,"5,321.8",83.8,"5,438.6",85.7,219.3,3.5
