Symbol,Name,Stock Exchange,Company Main Business,Size,Book Value Per Shr Tangble,Common Shares Outstdg,MktVal Co,Book to Market Ratio,Momentum,Monthly Return,Sales,MSCI ESG Rtg Score Environmental,MSCI ESG Rtg Score Governance,MSCI ESG Rtg Score Social,MSCI ESG Rtg Overall Company Rating,1 MktVal Co,1 Closing Price,2 MktVal Co,2 Closing Price,3 MktVal Co,3 Closing Price,4 MktVal Co,4 Closing Price,5 MktVal Co,5 Closing Price,6 MktVal Co,6 Closing Price,7 MktVal Co,7 Closing Price,8 MktVal Co,8 Closing Price,9 MktVal Co,9 Closing Price,10 MktVal Co,10 Closing Price,11 MktVal Co,11 Closing Price,12 MktVal Co,12 Closing Price,13 MktVal Co,13 Closing Price,14 MktVal Co,14 Closing Price,15 MktVal Co,15 Closing Price,16 MktVal Co,16 Closing Price,17 MktVal Co,17 Closing Price,18 MktVal Co,18 Closing Price,19 MktVal Co,19 Closing Price,20 MktVal Co,20 Closing Price,21 MktVal Co,21 Closing Price,22 MktVal Co,22 Closing Price,23 MktVal Co,23 Closing Price,24 MktVal Co,24 Closing Price,25 MktVal Co,25 Closing Price,26 MktVal Co,26 Closing Price,27 MktVal Co,27 Closing Price,28 MktVal Co,28 Closing Price,29 MktVal Co,29 Closing Price,STD MktVal,STD Closing Price
A,"Agilent Technologies, Inc.",NYSE,Healthcare,"25,608.7",0.5,309.7,"26,461.7",0.0,9.5,-6.6,"5,223.0",10.0,5.5,6.6,AAA,"25,608.7",82.6,"25,608.7",82.6,"25,481.5",82.2,"25,906.5",83.5,"26,343.8",84.9,"26,309.7",84.8,"25,797.9",83.2,"25,797.9",83.2,"25,797.9",83.2,"26,188.8",84.4,"26,443.3",85.1,"26,548.9",85.4,"26,561.3",85.5,"26,670.1",85.8,"26,670.1",85.8,"26,670.1",85.8,"26,670.1",85.8,"26,350.0",84.8,"26,524.1",85.4,"26,210.2",84.3,"26,437.0",85.1,"26,437.0",85.1,"26,437.0",85.1,"25,016.8",80.5,"24,224.4",78.0,"24,274.1",78.1,"24,062.8",77.4,"23,950.9",77.1,"23,950.9",77.1,905.3,2.9
AAL,"American Airlines Group, Inc.",NASDAQ,Industrials,"11,492.9",-14.7,428.2,"12,280.8",-0.5,-24.6,-28.7,"33,361.0",3.3,5.1,2.5,CCC,"11,492.9",26.8,"11,492.9",26.8,"11,629.9",27.2,"12,173.7",28.4,"12,460.6",29.1,"12,118.1",28.3,"12,152.3",28.4,"12,152.3",28.4,"12,152.3",28.4,"12,327.9",28.8,"12,777.5",29.8,"13,047.3",30.5,"12,884.5",30.1,"12,440.9",29.2,"12,440.9",29.2,"12,440.9",29.2,"12,440.9",29.2,"12,198.1",28.6,"12,070.2",28.3,"12,146.9",28.5,"11,853.0",27.8,"11,853.0",27.8,"11,853.0",27.8,"10,843.2",25.5,"9,850.5",23.1,"9,505.4",22.3,"8,776.8",20.6,"8,116.4",19.1,"8,116.4",19.1,"1,363.9",3.2
AAN,"Aaron's, Inc.",NYSE,Consumer Cyclicals,"3,986.1",12.1,66.7,"3,835.1",0.2,19.5,-33.7,"4,098.8",3.4,6.0,4.8,A,"3,986.1",59.4,"3,986.1",59.4,"4,054.0",60.4,"3,706.8",55.2,"3,799.5",56.6,"3,823.0",56.9,"3,726.9",55.5,"3,726.9",55.5,"3,726.9",55.5,"3,808.2",56.7,"3,931.8",58.6,"3,886.1",57.9,"3,916.3",58.3,"3,908.2",58.2,"3,908.2",58.2,"3,908.2",58.2,"3,908.2",58.2,"3,864.6",57.6,"3,770.6",56.2,"3,052.1",45.5,"2,892.1",43.3,"2,892.1",43.3,"2,892.1",43.3,"2,888.7",43.3,"2,850.0",42.7,"2,769.9",41.5,"2,733.2",41.0,"2,625.1",39.3,"2,625.1",39.3,514.3,7.5
AAOI,"Applied Optoelectronics, Inc.",NASDAQ,Technology,227.4,13.4,20.1,239.0,1.1,-34.6,-21.0,200.4,#N/A,#N/A,#N/A,@NA,227.4,11.3,227.4,11.3,233.8,11.6,249.5,12.4,244.1,12.1,233.0,11.6,226.8,11.3,226.8,11.3,226.8,11.3,227.4,11.3,231.6,11.5,250.7,12.5,256.5,12.8,239.4,11.9,239.4,11.9,239.4,11.9,239.4,11.9,236.4,11.8,243.0,12.1,237.8,11.8,227.0,11.3,227.0,11.3,227.0,11.3,213.0,10.6,205.1,10.2,204.8,10.2,192.3,9.6,179.7,8.9,179.7,8.9,19.1,1.0
AAON,"AAON, Inc.",NASDAQ,Industrials,"2,732.0",5.5,52.1,"2,574.2",0.1,44.4,4.9,499.2,5.5,7.0,8.4,A,"2,732.0",52.4,"2,732.0",52.4,"2,765.4",53.1,"2,782.0",53.4,"2,818.5",54.1,"2,832.0",54.4,"2,839.3",54.5,"2,839.3",54.5,"2,839.3",54.5,"2,858.4",54.9,"2,871.1",55.1,"2,900.3",55.7,"2,936.2",56.4,"2,973.8",57.1,"2,973.8",57.1,"2,973.8",57.1,"2,973.8",57.1,"2,903.9",55.7,"2,976.9",57.1,"2,943.0",56.5,"2,878.2",55.2,"2,878.2",55.2,"2,878.2",55.2,"2,800.8",53.8,"2,762.2",53.0,"2,767.4",53.1,"3,000.3",57.6,"2,865.6",55.0,"2,865.6",55.0,78.8,1.5
AAP,"Advance Auto Parts, Inc.",NYSE,Consumer Cyclicals,"9,124.9",26.7,69.2,"11,092.6",0.2,-17.0,0.9,"9,624.0",2.0,5.9,4.6,BBB,"9,124.9",131.8,"9,124.9",131.8,"9,187.3",132.7,"9,111.8",131.6,"9,489.9",137.0,"9,306.4",134.4,"9,206.7",132.9,"9,206.7",132.9,"9,206.7",132.9,"9,050.8",130.7,"9,149.9",132.1,"9,302.9",134.3,"9,327.2",134.7,"9,252.4",133.6,"9,252.4",133.6,"9,252.4",133.6,"9,252.4",133.6,"9,821.7",141.8,"9,704.6",140.1,"9,868.1",142.5,"9,738.6",140.6,"9,738.6",140.6,"9,738.6",140.6,"9,690.1",139.9,"9,530.1",137.6,"9,318.2",134.5,"9,289.8",134.1,"9,210.1",133.0,"9,210.1",133.0,245.7,3.5
AAPL,Apple Inc.,NASDAQ,Technology,"1,354,255.0",5.1,"17,539.8","1,304,765.0",0.1,87.7,-11.4,"273,420.0",3.8,4.6,5.5,A,"1,354,255.0",77.4,"1,354,255.0",77.4,"1,350,536.0",77.2,"1,395,122.0",79.7,"1,406,498.0",80.4,"1,422,950.0",81.3,"1,400,285.0",80.0,"1,400,285.0",80.0,"1,400,285.0",80.0,"1,406,936.0",80.4,"1,398,447.0",79.9,"1,431,657.0",81.8,"1,421,462.0",81.2,"1,421,812.0",81.2,"1,421,812.0",81.2,"1,421,812.0",81.2,"1,421,812.0",81.2,"1,395,778.0",79.8,"1,415,993.0",80.9,"1,401,466.0",80.1,"1,369,744.0",78.3,"1,369,744.0",78.3,"1,369,744.0",78.3,"1,304,681.0",74.5,"1,260,488.0",72.0,"1,280,484.0",73.2,"1,196,781.0",68.4,"1,196,081.0",68.3,"1,196,081.0",68.3,"72,109.8",4.1
AAT,"American Assets Trust, Inc.",NYSE,Finance,"2,731.6",20.6,60.1,"2,752.0",0.4,9.6,-9.0,370.9,6.3,6.2,1.4,BB,"2,731.6",45.6,"2,731.6",45.6,"2,767.6",46.2,"2,780.8",46.4,"2,790.4",46.5,"2,803.0",46.8,"2,762.2",46.1,"2,762.2",46.1,"2,762.2",46.1,"2,767.0",46.2,"2,761.6",46.1,"2,768.8",46.2,"2,758.0",46.0,"2,803.4",46.7,"2,803.4",46.7,"2,803.4",46.7,"2,803.4",46.7,"2,765.5",46.0,"2,734.3",45.5,"2,726.5",45.4,"2,733.1",45.5,"2,733.1",45.5,"2,733.1",45.5,"2,719.9",45.3,"2,646.6",44.1,"2,616.0",43.6,"2,512.0",41.8,"2,489.8",41.5,"2,489.8",41.5,89.9,1.5
AAWW,"Atlas Air Worldwide Holdings, Inc.",NASDAQ,Industrials,578.2,66.3,25.9,713.3,2.4,-58.2,19.6,"2,864.3",1.8,6.3,6.7,B,578.2,22.4,578.2,22.4,567.1,21.9,587.5,22.7,641.9,24.8,637.7,24.7,704.7,27.2,704.7,27.2,704.7,27.2,696.7,26.9,700.6,27.1,710.7,27.5,683.8,26.4,706.5,27.3,706.5,27.3,706.5,27.3,706.5,27.3,713.8,27.6,767.9,29.7,859.4,33.2,821.7,31.8,821.7,31.8,821.7,31.8,742.0,28.7,681.6,26.3,633.6,24.4,661.4,25.5,693.6,26.7,693.6,26.7,73.3,2.8
AAXN,Axon Enterprise Inc,NASDAQ,Industrials,"4,558.0",8.5,59.5,"4,348.5",0.1,51.6,0.7,591.1,3.6,5.9,4.1,A,"4,558.0",76.8,"4,558.0",76.8,"4,604.3",77.6,"4,853.5",81.8,"4,854.7",81.8,"4,956.8",83.5,"4,916.4",82.9,"4,916.4",82.9,"4,916.4",82.9,"5,070.1",85.4,"5,171.0",87.1,"5,220.8",88.0,"5,206.6",87.7,"5,169.2",87.1,"5,169.2",87.1,"5,169.2",87.1,"5,169.2",87.1,"5,181.1",87.3,"5,275.4",88.9,"5,130.6",86.5,"5,102.7",86.0,"5,102.7",86.0,"5,102.7",86.0,"4,890.3",82.4,"4,718.2",79.5,"4,771.0",80.4,"4,576.4",77.1,"4,591.2",77.4,"4,591.2",77.4,238.4,4.0
