Symbol,Name,Stock Exchange,Company Main Business,Size,Book Value Per Shr Tangble,Common Shares Outstdg,MktVal Co,Momentum,Monthly Return,Sales,MSCI ESG Rtg Score Environmental,MSCI ESG Rtg Score Governance,MSCI ESG Rtg Score Social,MSCI ESG Rtg Overall Company Rating,1 MktVal Co,1 Closing Price,2 MktVal Co,2 Closing Price,3 MktVal Co,3 Closing Price,4 MktVal Co,4 Closing Price,5 MktVal Co,5 Closing Price,6 MktVal Co,6 Closing Price,7 MktVal Co,7 Closing Price,8 MktVal Co,8 Closing Price,9 MktVal Co,9 Closing Price,10 MktVal Co,10 Closing Price,11 MktVal Co,11 Closing Price,12 MktVal Co,12 Closing Price,13 MktVal Co,13 Closing Price,14 MktVal Co,14 Closing Price,15 MktVal Co,15 Closing Price,16 MktVal Co,16 Closing Price,17 MktVal Co,17 Closing Price,18 MktVal Co,18 Closing Price,19 MktVal Co,19 Closing Price,20 MktVal Co,20 Closing Price,21 MktVal Co,21 Closing Price,22 MktVal Co,22 Closing Price,23 MktVal Co,23 Closing Price,24 MktVal Co,24 Closing Price,25 MktVal Co,25 Closing Price,26 MktVal Co,26 Closing Price,27 MktVal Co,27 Closing Price,28 MktVal Co,28 Closing Price,29 MktVal Co,29 Closing Price,30 MktVal Co,30 Closing Price,31 MktVal Co,31 Closing Price,STD MktVal,STD Closing Price
A,"Agilent Technologies, Inc.",NYSE,Healthcare,"26,461.70",0.5,309.7,"26,461.70",27.5,-3.2,"5,223.00",10,5.5,6.6,AAA,"26,461.70",85.3,"26,660.20",86,"26,232.20",84.6,"26,232.20",84.6,"26,232.20",84.6,"26,309.70",84.8,"26,390.40",85.1,"26,650.90",85.9,"27,069.70",87.3,"27,168.90",87.6,"27,168.90",87.6,"27,168.90",87.6,"27,128.60",87.5,"27,293.00",88,"27,488.40",88.6,"27,749.00",89.5,"27,953.70",90.1,"27,953.70",90.1,"27,953.70",90.1,"27,953.70",90.1,"27,795.50",89.6,"27,956.80",90.1,"27,628.00",89.1,"27,376.80",88.3,"27,376.80",88.3,"27,376.80",88.3,"26,849.40",86.6,"27,041.80",87.2,"27,060.40",87.2,"26,173.20",84.4,"25,608.70",82.6,647.9,2.1
AAL,"American Airlines Group, Inc.",NASDAQ,Industrials,"12,280.80",-14.7,428.2,"12,280.80",-9.4,-6.4,"33,361.00",3.3,5.1,2.5,CCC,"12,280.80",28.7,"12,456.30",29.1,"11,839.70",27.7,"11,839.70",27.7,"11,839.70",27.7,"11,698.40",27.3,"11,655.60",27.2,"11,921.10",27.8,"11,968.20",28,"11,698.40",27.3,"11,698.40",27.3,"11,698.40",27.3,"11,728.40",27.4,"11,788.40",27.5,"11,809.80",27.6,"12,088.10",28.2,"12,160.90",28.4,"12,160.90",28.4,"12,160.90",28.4,"12,160.90",28.4,"11,647.00",27.2,"11,698.40",27.3,"12,332.20",28.8,"11,835.50",27.6,"11,835.50",27.6,"11,835.50",27.6,"11,180.30",26.1,"11,518.60",26.9,"11,475.80",26.8,"11,869.70",27.7,"11,492.90",26.8,276.2,0.6
AAN,"Aaron's, Inc.",NYSE,Consumer Cyclicals,"3,835.10",12.1,66.7,"3,835.10",36.2,3.9,"4,098.80",3.4,6,4.8,A,"3,835.10",57.1,"3,872.70",57.7,"3,825.70",57,"3,825.70",57,"3,825.70",57,"3,873.30",57.7,"3,867.30",57.6,"3,935.10",58.6,"3,888.10",57.9,"3,876.00",57.7,"3,876.00",57.7,"3,876.00",57.7,"3,913.60",58.3,"3,963.30",59,"4,006.30",59.7,"4,045.20",60.2,"4,121.80",61.4,"4,121.80",61.4,"4,121.80",61.4,"4,121.80",61.4,"4,054.00",60.4,"4,104.30",61.1,"4,120.40",61.4,"4,128.50",61.5,"4,128.50",61.5,"4,128.50",61.5,"4,125.80",61.4,"4,215.10",62.8,"4,278.90",63.7,"4,217.10",62.8,"3,986.10",59.4,137.1,2
AAOI,"Applied Optoelectronics, Inc.",NASDAQ,Technology,239,13.4,20.1,239,-23,-4.9,200.4,#N/A,#N/A,#N/A,@NA,239,11.9,251.5,12.5,243.9,12.1,243.9,12.1,243.9,12.1,244.5,12.2,250.1,12.4,255.5,12.7,262.8,13.1,260.2,12.9,260.2,12.9,260.2,12.9,272.4,13.5,278.9,13.9,313.9,15.6,288.6,14.3,284.1,14.1,284.1,14.1,284.1,14.1,284.1,14.1,275.6,13.7,286.7,14.3,286.3,14.2,280.9,14,280.9,14,280.9,14,266.8,13.3,260.4,12.9,240,11.9,234.4,11.7,227.4,11.3,20.4,1
AAON,"AAON, Inc.",NASDAQ,Industrials,"2,574.20",5.5,52.1,"2,574.20",41.8,6.1,499.2,5.5,7,8.4,A,"2,574.20",49.4,"2,599.20",49.9,"2,623.10",50.4,"2,623.10",50.4,"2,623.10",50.4,"2,618.40",50.3,"2,612.70",50.2,"2,605.40",50,"2,649.20",50.9,"2,647.10",50.8,"2,647.10",50.8,"2,647.10",50.8,"2,706.50",52,"2,704.10",51.9,"2,723.70",52.3,"2,745.60",52.7,"2,754.90",52.9,"2,754.90",52.9,"2,754.90",52.9,"2,754.90",52.9,"2,753.40",52.9,"2,758.60",53,"2,802.90",53.8,"2,784.60",53.5,"2,784.60",53.5,"2,784.60",53.5,"2,782.00",53.4,"2,797.10",53.7,"2,793.00",53.6,"2,827.90",54.3,"2,732.00",52.4,75.5,1.4
AAP,"Advance Auto Parts, Inc.",NYSE,Consumer Cyclicals,"11,092.60",26.7,69.2,"11,092.60",1.9,-17.7,"9,624.00",2,5.9,4.6,BBB,"11,092.60",160.2,"11,040.60",159.4,"11,041.30",159.4,"11,041.30",159.4,"11,041.30",159.4,"10,859.90",156.8,"10,731.10",154.9,"10,607.80",153.2,"10,587.70",152.9,"10,320.30",149,"10,320.30",149,"10,320.30",149,"10,060.60",145.3,"10,312.70",148.9,"10,403.50",150.2,"10,523.30",151.9,"10,461.60",151.1,"10,461.60",151.1,"10,461.60",151.1,"10,461.60",151.1,"10,319.70",149,"10,226.20",147.7,"10,370.20",149.7,"9,812.70",141.7,"9,812.70",141.7,"9,812.70",141.7,"9,631.20",139.1,"9,598.00",138.6,"9,595.90",138.6,"9,368.70",135.3,"9,124.90",131.8,520.4,7.5
AAPL,Apple Inc.,NASDAQ,Technology,"1,304,765.00",5.1,"17,539.80","1,304,765.00",88.1,5.4,"273,420.00",3.8,4.6,5.5,A,"1,304,765.00",73.4,"1,316,743.00",75.1,"1,303,941.00",74.4,"1,303,941.00",74.4,"1,303,941.00",74.4,"1,314,331.00",75,"1,308,150.00",74.6,"1,329,193.00",75.8,"1,357,426.00",77.4,"1,360,495.00",77.6,"1,360,495.00",77.6,"1,360,495.00",77.6,"1,389,561.00",79.2,"1,370,798.00",78.2,"1,364,923.00",77.8,"1,382,021.00",78.8,"1,394,597.00",79.7,"1,394,597.00",79.7,"1,394,597.00",79.7,"1,394,597.00",79.7,"1,385,146.00",79.1,"1,390,090.00",79.4,"1,396,785.00",79.8,"1,392,759.00",79.6,"1,392,759.00",79.6,"1,392,759.00",79.6,"1,351,805.00",77.2,"1,390,046.00",79.4,"1,419,143.00",81.1,"1,417,087.00",81,"1,354,255.00",77.4,"36,365.60",2.2
AAT,"American Assets Trust, Inc.",NYSE,Finance,"2,752.00",20.6,60.1,"2,752.00",17.1,-0.7,370.9,6.3,6.2,1.4,BB,"2,752.00",45.9,"2,696.90",45,"2,750.80",45.9,"2,750.80",45.9,"2,750.80",45.9,"2,771.20",46.2,"2,718.50",45.3,"2,726.80",45.5,"2,722.00",45.4,"2,731.60",45.6,"2,731.60",45.6,"2,731.60",45.6,"2,763.40",46.1,"2,743.60",45.8,"2,772.40",46.2,"2,782.00",46.4,"2,807.80",46.8,"2,807.80",46.8,"2,807.80",46.8,"2,807.80",46.8,"2,851.00",47.6,"2,855.20",47.6,"2,872.50",47.9,"2,862.30",47.7,"2,862.30",47.7,"2,862.30",47.7,"2,854.60",47.6,"2,838.40",47.3,"2,825.80",47.1,"2,795.80",46.6,"2,731.60",45.6,53.1,0.9
AAWW,"Atlas Air Worldwide Holdings, Inc.",NASDAQ,Industrials,713.3,66.3,25.9,713.3,-34.7,-18.9,"2,864.30",1.8,6.3,6.7,B,713.3,27.6,717.4,27.7,710.2,27.5,710.2,27.5,710.2,27.5,709.6,27.4,682.2,26.4,702.7,27.2,695.4,26.9,685.6,26.5,685.6,26.5,685.6,26.5,700.8,27.1,721.4,27.9,712,27.5,721.3,27.9,720.5,27.9,720.5,27.9,720.5,27.9,720.5,27.9,703.2,27.2,680.5,26.3,662.8,25.6,640,24.7,640,24.7,640,24.7,616.2,23.8,612.9,23.7,604.6,23.4,594.5,23,578.2,22.4,43.2,1.7
AAXN,Axon Enterprise Inc,NASDAQ,Industrials,"4,348.50",8.5,59.5,"4,348.50",67.5,4.8,591.1,3.6,5.9,4.1,A,"4,348.50",73.3,"4,543.10",76.6,"4,386.80",73.9,"4,386.80",73.9,"4,386.80",73.9,"4,079.70",68.8,"4,140.20",69.8,"4,130.70",69.6,"4,165.10",70.2,"4,124.80",69.5,"4,124.80",69.5,"4,124.80",69.5,"4,199.60",70.8,"4,234.90",71.4,"4,314.10",72.7,"4,463.60",75.2,"4,367.50",73.6,"4,367.50",73.6,"4,367.50",73.6,"4,367.50",73.6,"4,466.00",75.3,"4,692.70",79.1,"4,666.60",78.6,"4,779.90",80.6,"4,779.90",80.6,"4,779.90",80.6,"4,623.30",77.9,"4,686.20",79,"4,741.90",79.9,"4,648.80",78.3,"4,558.00",76.8,227.1,3.8
