Symbol,Name,Stock Exchange,Company Main Business,Size,Book Value Per Shr Tangble,Common Shares Outstdg,MktVal Co,Book to Market Ratio,Momentum,Monthly Return,Sales,MSCI ESG Rtg Score Environmental,MSCI ESG Rtg Score Governance,MSCI ESG Rtg Score Social,MSCI ESG Rtg Overall Company Rating,1 MktVal Co,1 Closing Price,2 MktVal Co,2 Closing Price,3 MktVal Co,3 Closing Price,4 MktVal Co,4 Closing Price,5 MktVal Co,5 Closing Price,6 MktVal Co,6 Closing Price,7 MktVal Co,7 Closing Price,8 MktVal Co,8 Closing Price,9 MktVal Co,9 Closing Price,10 MktVal Co,10 Closing Price,11 MktVal Co,11 Closing Price,12 MktVal Co,12 Closing Price,13 MktVal Co,13 Closing Price,14 MktVal Co,14 Closing Price,15 MktVal Co,15 Closing Price,16 MktVal Co,16 Closing Price,17 MktVal Co,17 Closing Price,18 MktVal Co,18 Closing Price,19 MktVal Co,19 Closing Price,20 MktVal Co,20 Closing Price,21 MktVal Co,21 Closing Price,22 MktVal Co,22 Closing Price,23 MktVal Co,23 Closing Price,24 MktVal Co,24 Closing Price,25 MktVal Co,25 Closing Price,26 MktVal Co,26 Closing Price,27 MktVal Co,27 Closing Price,28 MktVal Co,28 Closing Price,29 MktVal Co,29 Closing Price,30 MktVal Co,30 Closing Price,31 MktVal Co,31 Closing Price,STD MktVal,STD Closing Price
A,"Agilent Technologies, Inc.",NYSE,Healthcare,"27,286.7",0.5,309.7,"26,461.7",0.0,17.5,9.3,"5,223.0",10.0,5.5,6.6,AAA,"27,206.4",88.1,"27,382.4",88.7,"27,382.4",88.7,"27,382.4",88.7,"27,382.4",88.7,"27,576.9",89.3,"27,546.0",89.2,"27,647.9",89.5,"27,765.3",89.9,"27,610.9",89.4,"27,610.9",89.4,"27,610.9",89.4,"27,561.5",89.3,"28,003.0",90.7,"28,679.2",92.9,"28,673.1",92.9,"29,139.3",94.4,"29,139.3",94.4,"29,139.3",94.4,"29,398.7",95.2,"29,648.8",96.0,"29,750.7",96.4,"29,846.4",96.7,"29,275.2",94.8,"29,275.2",94.8,"29,275.2",94.8,"30,034.8",97.3,"29,426.5",95.3,"29,982.3",97.1,"29,621.0",95.9,"29,744.5",96.3,997.5,3.2
AAL,"American Airlines Group, Inc.",NASDAQ,Industrials,"6,641.0",-14.7,428.2,"12,280.8",-0.5,-59.3,-13.2,"33,361.0",3.3,5.1,2.5,CCC,"6,508.9",12.8,"6,351.4",12.5,"6,351.4",12.5,"6,351.4",12.5,"6,351.4",12.5,"6,503.8",12.8,"6,051.6",11.9,"6,092.2",12.0,"5,680.7",11.2,"6,066.8",11.9,"6,066.8",11.9,"6,066.8",11.9,"5,909.3",11.6,"5,878.8",11.6,"6,829.0",13.4,"6,326.0",12.5,"6,051.6",11.9,"6,051.6",11.9,"6,051.6",11.9,"5,828.0",11.5,"5,828.0",11.5,"5,772.1",11.4,"5,985.8",11.8,"5,792.5",11.4,"5,792.5",11.4,"5,792.5",11.4,"5,792.5",11.4,"5,985.8",11.8,"5,797.6",11.4,"5,685.7",11.2,"5,655.2",11.1,285.7,0.6
AAN,"Aaron's, Inc.",NYSE,Consumer Cyclicals,"3,067.7",12.1,66.7,"3,835.1",0.2,-27.6,15.2,"4,098.8",3.4,6.0,4.8,A,"3,060.3",45.3,"3,022.5",44.7,"3,022.5",44.7,"3,022.5",44.7,"3,022.5",44.7,"3,043.4",45.0,"2,936.0",43.5,"2,961.0",43.8,"2,960.3",43.8,"2,979.9",44.1,"2,979.9",44.1,"2,979.9",44.1,"2,865.7",42.4,"2,894.1",42.8,"3,034.0",44.9,"2,975.9",44.0,"2,915.0",43.1,"2,915.0",43.1,"2,915.0",43.1,"2,879.2",42.6,"2,952.2",43.7,"2,983.1",44.4,"3,017.3",44.9,"3,001.2",44.7,"3,001.2",44.7,"3,001.2",44.7,"3,086.5",46.0,"3,032.7",45.2,"3,651.8",54.4,"3,542.3",52.8,"3,503.4",52.2,184.7,2.8
AAOI,"Applied Optoelectronics, Inc.",NASDAQ,Technology,221.1,13.4,20.1,239.0,1.1,6.8,39.5,200.4,#N/A,#N/A,#N/A,@NA,207.3,10.2,219.5,10.8,219.5,10.8,219.5,10.8,219.5,10.8,235.5,11.6,226.8,11.2,229.6,11.3,244.1,12.0,234.1,11.5,234.1,11.5,234.1,11.5,219.7,10.8,217.8,10.7,226.2,11.1,216.9,10.7,228.6,11.2,228.6,11.2,228.6,11.2,244.4,12.0,283.2,13.9,292.7,14.4,289.4,14.2,277.0,13.6,277.0,13.6,277.0,13.6,284.1,14.0,269.3,13.2,275.2,13.5,282.1,13.9,323.6,14.2,30.3,1.4
AAON,"AAON, Inc.",NASDAQ,Industrials,"2,824.8",5.5,52.1,"2,574.2",0.1,9.9,12.5,499.2,5.5,7.0,8.4,A,"2,741.5",52.7,"2,795.7",53.7,"2,795.7",53.7,"2,795.7",53.7,"2,795.7",53.7,"2,840.4",54.6,"2,872.7",55.2,"2,823.8",54.3,"2,780.6",53.4,"2,819.1",54.2,"2,819.1",54.2,"2,819.1",54.2,"2,834.2",54.5,"2,926.3",56.2,"3,000.1",57.7,"2,999.1",57.6,"3,023.0",58.1,"3,023.0",58.1,"3,023.0",58.1,"2,992.3",57.5,"3,012.6",57.9,"3,023.6",58.1,"3,043.3",58.5,"2,999.1",57.6,"2,999.1",57.6,"2,999.1",57.6,"3,013.7",57.9,"2,967.9",57.0,"3,075.1",59.1,"3,030.3",58.2,"3,082.9",59.3,107.1,2.1
AAP,"Advance Auto Parts, Inc.",NYSE,Consumer Cyclicals,"9,843.5",26.7,69.2,"11,092.6",0.2,-8.6,5.8,"9,624.0",2.0,5.9,4.6,BBB,"9,808.9",142.0,"9,801.3",141.8,"9,801.3",141.8,"9,801.3",141.8,"9,801.3",141.8,"9,602.3",139.0,"9,444.8",136.7,"9,428.9",136.5,"9,242.3",133.8,"9,290.7",134.5,"9,290.7",134.5,"9,290.7",134.5,"9,337.6",135.1,"9,576.0",138.6,"9,928.5",143.7,"10,043.9",145.4,"10,010.0",144.9,"10,010.0",144.9,"10,010.0",144.9,"10,012.8",144.9,"10,184.1",147.4,"10,323.7",149.4,"10,252.6",148.4,"10,176.5",147.3,"10,176.5",147.3,"10,176.5",147.3,"10,146.1",146.8,"10,101.9",146.2,"10,241.5",148.2,"10,563.5",152.9,"10,374.9",150.1,369.1,5.3
AAPL,Apple Inc.,NASDAQ,Technology,"1,581,165.0",5.1,"17,539.8","1,304,765.0",0.1,82.6,16.7,"273,420.0",3.8,4.6,5.5,A,"1,578,175.0",91.0,"1,578,175.0",91.0,"1,578,175.0",91.0,"1,578,175.0",91.0,"1,578,175.0",91.0,"1,620,391.0",93.5,"1,615,363.0",93.2,"1,652,985.0",95.3,"1,658,880.0",95.7,"1,662,998.0",95.9,"1,662,998.0",95.9,"1,662,998.0",95.9,"1,655,326.0",95.5,"1,682,719.0",97.1,"1,694,292.0",97.7,"1,673,443.0",96.5,"1,647,445.0",96.3,"1,647,445.0",96.3,"1,647,445.0",96.3,"1,682,163.0",98.4,"1,658,946.0",97.0,"1,663,606.0",97.3,"1,587,885.0",92.8,"1,583,951.0",92.6,"1,583,951.0",92.6,"1,583,951.0",92.6,"1,621,491.0",94.8,"1,594,854.0",93.3,"1,625,425.0",95.0,"1,645,093.0",96.2,"1,817,315.0",106.3,"50,652.1",3.1
AAT,"American Assets Trust, Inc.",NYSE,Finance,"1,672.3",20.6,60.1,"2,752.0",0.4,-38.3,-4.0,370.9,6.3,6.2,1.4,BB,"1,689.7",28.1,"1,687.3",28.1,"1,687.3",28.1,"1,687.3",28.1,"1,687.3",28.1,"1,640.5",27.3,"1,594.2",26.5,"1,562.4",26.0,"1,587.6",26.4,"1,632.6",27.2,"1,632.6",27.2,"1,632.6",27.2,"1,598.4",26.6,"1,584.0",26.4,"1,608.0",26.8,"1,577.4",26.3,"1,584.0",26.4,"1,584.0",26.4,"1,584.0",26.4,"1,507.7",25.1,"1,543.1",25.7,"1,573.2",26.2,"1,572.6",26.2,"1,535.9",25.6,"1,535.9",25.6,"1,535.9",25.6,"1,544.9",25.7,"1,612.2",26.8,"1,621.8",27.0,"1,581.7",26.3,"1,622.0",27.0,50.5,0.8
AAWW,"Atlas Air Worldwide Holdings, Inc.",NASDAQ,Industrials,"1,124.2",66.3,25.9,713.3,2.4,-2.3,18.7,"2,864.3",1.8,6.3,6.7,B,"1,146.4",43.9,"1,161.1",44.4,"1,161.1",44.4,"1,161.1",44.4,"1,161.1",44.4,"1,185.4",45.4,"1,199.7",45.9,"1,201.3",46.0,"1,207.0",46.2,"1,234.7",47.3,"1,234.7",47.3,"1,234.7",47.3,"1,240.8",47.5,"1,244.9",47.7,"1,272.9",48.7,"1,286.5",49.2,"1,303.7",49.9,"1,303.7",49.9,"1,303.7",49.9,"1,307.9",50.1,"1,317.3",50.4,"1,284.6",49.2,"1,273.4",48.7,"1,250.4",47.9,"1,250.4",47.9,"1,250.4",47.9,"1,298.8",49.7,"1,274.5",48.8,"1,336.4",51.2,"1,343.7",51.4,"1,360.7",52.1,59.3,2.3
AAXN,Axon Enterprise Inc,NASDAQ,Industrials,"6,228.0",8.5,59.5,"4,348.5",0.1,52.0,-16.3,591.1,3.6,5.9,4.1,A,"6,306.6",99.4,"6,368.2",100.3,"6,368.2",100.3,"6,368.2",100.3,"6,368.2",100.3,"6,323.8",99.6,"6,096.6",96.1,"6,151.8",96.9,"6,119.4",96.4,"6,087.1",95.9,"6,087.1",95.9,"6,087.1",95.9,"5,760.8",90.8,"5,891.6",92.8,"5,879.5",92.6,"5,780.5",91.1,"5,757.7",90.7,"5,757.7",90.7,"5,757.7",90.7,"5,854.1",92.2,"5,845.9",92.1,"5,656.1",89.1,"5,555.2",87.5,"5,434.0",85.6,"5,434.0",85.6,"5,434.0",85.6,"5,486.0",86.4,"5,448.6",85.9,"5,387.7",84.9,"5,387.0",84.9,"5,276.0",83.1,348.1,5.5
