Symbol,Name,Stock Exchange,Company Main Business,Size,Book Value Per Shr Tangble,Common Shares Outstdg,MktVal Co,Book to Market Ratio,Momentum,Monthly Return,Sales,MSCI ESG Rtg Score Environmental,MSCI ESG Rtg Score Governance,MSCI ESG Rtg Score Social,MSCI ESG Rtg Overall Company Rating,1 MktVal Co,1 Closing Price,2 MktVal Co,2 Closing Price,3 MktVal Co,3 Closing Price,4 MktVal Co,4 Closing Price,5 MktVal Co,5 Closing Price,6 MktVal Co,6 Closing Price,7 MktVal Co,7 Closing Price,8 MktVal Co,8 Closing Price,9 MktVal Co,9 Closing Price,10 MktVal Co,10 Closing Price,11 MktVal Co,11 Closing Price,12 MktVal Co,12 Closing Price,13 MktVal Co,13 Closing Price,14 MktVal Co,14 Closing Price,15 MktVal Co,15 Closing Price,16 MktVal Co,16 Closing Price,17 MktVal Co,17 Closing Price,18 MktVal Co,18 Closing Price,19 MktVal Co,19 Closing Price,20 MktVal Co,20 Closing Price,21 MktVal Co,21 Closing Price,22 MktVal Co,22 Closing Price,23 MktVal Co,23 Closing Price,24 MktVal Co,24 Closing Price,25 MktVal Co,25 Closing Price,26 MktVal Co,26 Closing Price,27 MktVal Co,27 Closing Price,28 MktVal Co,28 Closing Price,29 MktVal Co,29 Closing Price,30 MktVal Co,30 Closing Price,STD MktVal,STD Closing Price,1 Price Chg (LOCAL),2 Price Chg (LOCAL),3 Price Chg (LOCAL),4 Price Chg (LOCAL),5 Price Chg (LOCAL),6 Price Chg (LOCAL),7 Price Chg (LOCAL),8 Price Chg (LOCAL),9 Price Chg (LOCAL),10 Price Chg (LOCAL),11 Price Chg (LOCAL),12 Price Chg (LOCAL),13 Price Chg (LOCAL),14 Price Chg (LOCAL),15 Price Chg (LOCAL),16 Price Chg (LOCAL),17 Price Chg (LOCAL),18 Price Chg (LOCAL),19 Price Chg (LOCAL),20 Price Chg (LOCAL),21 Price Chg (LOCAL),22 Price Chg (LOCAL),23 Price Chg (LOCAL),24 Price Chg (LOCAL),25 Price Chg (LOCAL),26 Price Chg (LOCAL),27 Price Chg (LOCAL),28 Price Chg (LOCAL),29 Price Chg (LOCAL),30 Price Chg (LOCAL)
A,"Agilent Technologies, Inc.",NYSE,Healthcare,"27,292.6",0.5,309.7,"26,461.7",0.0,32.5,-1.5,"5,223.0",10.0,5.5,6.6,AAA,"27,762.2",89.9,"27,879.5",90.3,"27,941.3",90.5,"28,142.0",91.1,"27,907.3",90.4,"27,907.3",90.4,"27,907.3",90.4,"27,879.5",90.3,"27,719.0",89.8,"27,731.3",89.8,"26,255.3",85.0,"26,588.8",86.1,"26,588.8",86.1,"26,588.8",86.1,"26,851.3",87.0,"26,999.5",87.4,"27,147.7",87.9,"27,237.3",88.2,"27,397.8",88.7,"27,397.8",88.7,"27,397.8",88.7,"27,336.1",88.5,"27,567.7",89.3,"26,727.8",86.6,"26,943.9",87.3,"26,524.0",85.9,"26,524.0",85.9,"26,524.0",85.9,"26,953.2",87.3,"27,286.7",88.4,551.5,1.8,2.0,0.4,0.2,0.7,-0.8,0.0,0.0,-0.1,-0.6,0.0,-5.3,1.3,0.0,0.0,1.0,0.6,0.5,0.3,0.6,0.0,0.0,-0.2,0.8,-3.0,0.8,-1.6,0.0,0.0,1.6,1.2
AAL,"American Airlines Group, Inc.",NASDAQ,Industrials,"4,440.4",-14.7,428.2,"12,280.8",-0.5,-60.3,17.6,"33,361.0",3.3,5.1,2.5,CCC,"4,698.4",11.1,"4,744.9",11.2,"5,011.3",11.9,"7,070.8",16.7,"7,861.6",18.6,"7,861.6",18.6,"7,861.6",18.6,"8,589.0",20.3,"7,844.7",18.6,"7,197.7",17.0,"6,081.2",14.4,"7,079.3",16.7,"7,079.3",16.7,"7,079.3",16.7,"7,062.3",16.7,"7,201.9",17.0,"7,180.7",17.0,"6,973.5",16.5,"6,766.3",16.0,"6,766.3",16.0,"6,766.3",16.0,"6,309.6",14.9,"5,920.5",14.0,"6,480.8",13.0,"6,545.4",13.2,"6,152.8",12.4,"6,152.8",12.4,"6,152.8",12.4,"6,620.0",13.3,"6,641.0",13.1,895.0,2.5,5.8,1.0,5.6,41.1,11.2,0.0,0.0,9.3,-8.7,-8.2,-15.5,16.4,0.0,0.0,-0.2,2.0,-0.3,-2.9,-3.0,0.0,0.0,-6.8,-6.2,-6.9,1.0,-6.0,0.0,0.0,7.6,-1.9
AAN,"Aaron's, Inc.",NYSE,Consumer Cyclicals,"2,493.9",12.1,66.7,"3,835.1",0.2,-30.4,21.7,"4,098.8",3.4,6.0,4.8,A,"2,522.2",37.3,"2,597.2",38.4,"2,681.7",39.7,"2,949.3",43.7,"3,079.0",45.6,"3,079.0",45.6,"3,079.0",45.6,"3,329.7",49.3,"3,274.9",48.5,"3,083.0",45.6,"2,836.4",42.0,"2,942.5",43.6,"2,942.5",43.6,"2,942.5",43.6,"2,968.8",43.9,"3,074.5",45.5,"2,994.1",44.3,"2,931.3",43.4,"2,855.6",42.3,"2,855.6",42.3,"2,855.6",42.3,"2,943.4",43.6,"2,998.8",44.4,"2,890.0",42.8,"2,981.3",44.1,"2,994.8",44.3,"2,994.8",44.3,"2,994.8",44.3,"3,142.1",46.5,"3,067.7",45.4,167.5,2.5,1.1,3.0,3.3,10.0,4.4,0.0,0.0,8.1,-1.6,-5.9,-8.0,3.7,0.0,0.0,0.9,3.6,-2.6,-2.1,-2.6,0.0,0.0,3.1,1.9,-3.6,3.2,0.5,0.0,0.0,4.9,-2.4
AAOI,"Applied Optoelectronics, Inc.",NASDAQ,Technology,179.6,13.4,20.1,239.0,1.1,2.0,18.8,200.4,#N/A,#N/A,#N/A,@NA,186.1,9.2,184.1,9.1,194.0,9.5,199.5,9.8,203.0,10.0,203.0,10.0,203.0,10.0,208.3,10.2,197.2,9.7,191.0,9.4,175.9,8.7,179.2,8.8,179.2,8.8,179.2,8.8,183.7,9.0,186.9,9.2,207.1,10.2,201.4,9.9,199.3,9.8,199.3,9.8,199.3,9.8,202.2,9.9,199.3,9.8,190.0,9.3,190.8,9.4,189.4,9.3,189.4,9.3,189.4,9.3,191.4,9.4,221.1,10.9,10.2,0.5,3.6,-1.1,5.4,2.8,1.7,0.0,0.0,2.6,-5.3,-3.1,-7.9,1.8,0.0,0.0,2.5,1.8,10.8,-2.8,-1.0,0.0,0.0,1.4,-1.4,-4.7,0.4,-0.7,0.0,0.0,1.1,15.5
AAON,"AAON, Inc.",NASDAQ,Industrials,"2,818.5",5.5,52.1,"2,574.2",0.1,19.7,0.4,499.2,5.5,7.0,8.4,A,"2,823.8",54.3,"2,823.2",54.3,"2,881.5",55.4,"2,916.4",56.1,"3,037.1",58.4,"3,037.1",58.4,"3,037.1",58.4,"3,008.5",57.8,"2,980.9",57.3,"2,932.0",56.4,"2,699.9",51.9,"2,703.6",52.0,"2,703.6",52.0,"2,703.6",52.0,"2,742.6",52.7,"2,798.8",53.8,"2,764.4",53.1,"2,777.4",53.4,"2,777.4",53.4,"2,777.4",53.4,"2,777.4",53.4,"2,812.3",54.1,"2,820.6",54.2,"2,745.7",52.8,"2,762.4",53.1,"2,639.6",50.7,"2,639.6",50.7,"2,639.6",50.7,"2,792.5",53.7,"2,824.8",54.3,118.3,2.3,0.2,0.0,2.1,1.2,4.1,0.0,0.0,-0.9,-0.9,-1.6,-7.9,0.1,0.0,0.0,1.4,2.0,-1.2,0.5,0.0,0.0,0.0,1.3,0.3,-2.7,0.6,-4.4,0.0,0.0,5.8,1.2
AAP,"Advance Auto Parts, Inc.",NYSE,Consumer Cyclicals,"9,627.2",26.7,69.2,"11,092.6",0.2,-9.8,2.1,"9,624.0",2.0,5.9,4.6,BBB,"9,659.7",139.8,"9,638.9",139.5,"9,834.5",142.3,"9,826.2",142.2,"10,095.7",146.1,"10,095.7",146.1,"10,095.7",146.1,"10,113.0",146.4,"9,965.1",144.2,"9,700.4",140.4,"9,199.4",133.1,"9,379.1",135.7,"9,379.1",135.7,"9,379.1",135.7,"9,525.6",137.9,"9,858.0",142.7,"10,271.2",148.6,"10,206.9",147.7,"10,012.8",144.9,"10,012.8",144.9,"10,012.8",144.9,"10,475.8",151.6,"10,363.1",150.0,"9,881.5",143.0,"9,875.3",142.9,"9,673.5",140.0,"9,673.5",140.0,"9,673.5",140.0,"9,864.2",142.8,"9,843.5",142.5,304.9,4.4,0.3,-0.2,2.0,-0.1,2.7,0.0,0.0,0.2,-1.5,-2.7,-5.2,2.0,0.0,0.0,1.6,3.5,4.2,-0.6,-1.9,0.0,0.0,4.6,-1.1,-4.6,-0.1,-2.0,0.0,0.0,2.0,-0.2
AAPL,Apple Inc.,NASDAQ,Technology,"1,378,059.0",5.1,"17,539.8","1,304,765.0",0.1,83.4,13.3,"273,420.0",3.8,4.6,5.5,A,"1,395,006.0",80.5,"1,401,464.0",80.8,"1,409,179.0",81.3,"1,397,043.0",80.6,"1,436,832.0",82.9,"1,436,832.0",82.9,"1,436,832.0",82.9,"1,445,327.0",83.4,"1,490,968.0",86.0,"1,529,327.0",88.2,"1,455,903.0",84.0,"1,468,473.0",84.7,"1,468,473.0",84.7,"1,468,473.0",84.7,"1,486,634.0",85.7,"1,526,033.0",88.0,"1,523,909.0",87.9,"1,524,516.0",87.9,"1,515,804.0",87.4,"1,515,804.0",87.4,"1,515,804.0",87.4,"1,555,463.0",89.7,"1,588,664.0",91.6,"1,560,621.0",90.0,"1,581,339.0",91.2,"1,532,751.0",88.4,"1,532,751.0",88.4,"1,532,751.0",88.4,"1,568,076.0",90.4,"1,581,165.0",91.2,"58,248.5",3.4,1.2,0.5,0.6,-0.9,2.8,0.0,0.0,0.6,3.2,2.6,-4.8,0.9,0.0,0.0,1.2,2.7,-0.1,0.0,-0.6,0.0,0.0,2.6,2.1,-1.8,1.3,-3.1,0.0,0.0,2.3,0.8
AAT,"American Assets Trust, Inc.",NYSE,Finance,"1,572.0",20.6,60.1,"2,752.0",0.4,-39.8,5.5,370.9,6.3,6.2,1.4,BB,"1,597.2",26.6,"1,620.6",27.0,"1,767.2",29.4,"1,868.7",31.1,"1,972.0",32.8,"1,972.0",32.8,"1,972.0",32.8,"2,093.4",34.9,"1,999.7",33.3,"1,855.5",30.9,"1,696.9",28.3,"1,799.0",30.0,"1,799.0",30.0,"1,799.0",30.0,"1,808.6",30.1,"1,874.1",31.2,"1,794.2",29.9,"1,785.8",29.7,"1,698.7",28.3,"1,698.7",28.3,"1,698.7",28.3,"1,702.3",28.3,"1,708.9",28.5,"1,639.9",27.3,"1,678.3",27.9,"1,675.3",27.9,"1,675.3",27.9,"1,675.3",27.9,"1,693.9",28.2,"1,672.3",27.8,125.9,2.1,1.6,1.5,9.0,5.7,5.5,0.0,0.0,6.2,-4.5,-7.2,-8.5,6.0,0.0,0.0,0.5,3.6,-4.3,-0.5,-4.9,0.0,0.0,0.2,0.4,-4.0,2.3,-0.2,0.0,0.0,1.1,-1.3
AAWW,"Atlas Air Worldwide Holdings, Inc.",NASDAQ,Industrials,"1,020.5",66.3,25.9,713.3,2.4,10.4,5.6,"2,864.3",1.8,6.3,6.7,B,"1,064.9",40.8,"1,187.2",45.4,"1,195.3",45.8,"1,193.5",45.7,"1,149.6",44.0,"1,149.6",44.0,"1,149.6",44.0,"1,059.7",40.6,"1,079.3",41.3,"1,069.9",41.0,"1,022.3",39.1,"1,030.2",39.4,"1,030.2",39.4,"1,030.2",39.4,"1,067.5",40.9,"1,075.6",41.2,"1,041.7",39.9,"1,052.4",40.3,"1,066.7",40.8,"1,066.7",40.8,"1,066.7",40.8,"1,057.3",40.5,"1,082.2",41.4,"1,060.7",40.6,"1,043.8",40.0,"1,021.0",39.1,"1,021.0",39.1,"1,021.0",39.1,"1,058.1",40.5,"1,124.2",43.0,53.0,2.0,4.4,11.5,0.7,-0.2,-3.7,0.0,0.0,-7.8,1.8,-0.9,-4.4,0.8,0.0,0.0,3.6,0.8,-3.2,1.0,1.4,0.0,0.0,-0.9,2.3,-2.0,-1.6,-2.2,0.0,0.0,3.6,6.2
AAXN,Axon Enterprise Inc,NASDAQ,Industrials,"4,544.3",8.5,59.5,"4,348.5",0.1,13.7,9.3,591.1,3.6,5.9,4.1,A,"5,369.3",89.8,"5,853.9",97.9,"5,454.9",91.2,"5,584.1",93.3,"5,551.2",92.8,"5,551.2",92.8,"5,551.2",92.8,"5,819.2",97.3,"5,998.7",100.3,"6,177.0",103.3,"5,384.9",90.0,"5,629.0",94.1,"5,629.0",94.1,"5,629.0",94.1,"6,003.5",100.4,"5,603.2",93.7,"6,019.8",94.9,"5,826.8",91.8,"5,719.6",90.1,"5,719.6",90.1,"5,719.6",90.1,"5,870.6",92.5,"6,063.6",95.5,"5,929.7",93.4,"6,089.6",96.0,"6,096.6",96.1,"6,096.6",96.1,"6,096.6",96.1,"6,080.1",95.8,"6,228.0",98.1,251.0,3.3,18.2,9.0,-6.8,2.4,-0.6,0.0,0.0,4.8,3.1,3.0,-12.8,4.5,0.0,0.0,6.7,-6.7,1.3,-3.2,-1.8,0.0,0.0,2.6,3.3,-2.2,2.7,0.1,0.0,0.0,-0.3,2.4
