Symbol,Name,Stock Exchange,Company Main Business,Size,Book Value Per Shr Tangble,Common Shares Outstdg,MktVal Co,Book to Market Ratio,Momentum,Monthly Return,Sales,MSCI ESG Rtg Score Environmental,MSCI ESG Rtg Score Governance,MSCI ESG Rtg Score Social,MSCI ESG Rtg Overall Company Rating,1 MktVal Co,1 Closing Price,2 MktVal Co,2 Closing Price,3 MktVal Co,3 Closing Price,4 MktVal Co,4 Closing Price,5 MktVal Co,5 Closing Price,6 MktVal Co,6 Closing Price,7 MktVal Co,7 Closing Price,8 MktVal Co,8 Closing Price,9 MktVal Co,9 Closing Price,10 MktVal Co,10 Closing Price,11 MktVal Co,11 Closing Price,12 MktVal Co,12 Closing Price,13 MktVal Co,13 Closing Price,14 MktVal Co,14 Closing Price,15 MktVal Co,15 Closing Price,16 MktVal Co,16 Closing Price,17 MktVal Co,17 Closing Price,18 MktVal Co,18 Closing Price,19 MktVal Co,19 Closing Price,20 MktVal Co,20 Closing Price,21 MktVal Co,21 Closing Price,22 MktVal Co,22 Closing Price,23 MktVal Co,23 Closing Price,24 MktVal Co,24 Closing Price,25 MktVal Co,25 Closing Price,26 MktVal Co,26 Closing Price,27 MktVal Co,27 Closing Price,28 MktVal Co,28 Closing Price,29 MktVal Co,29 Closing Price,30 MktVal Co,30 Closing Price,31 MktVal Co,31 Closing Price,STD MktVal,STD Closing Price,1 Price Chg (LOCAL),2 Price Chg (LOCAL),3 Price Chg (LOCAL),4 Price Chg (LOCAL),5 Price Chg (LOCAL),6 Price Chg (LOCAL),7 Price Chg (LOCAL),8 Price Chg (LOCAL),9 Price Chg (LOCAL),10 Price Chg (LOCAL),11 Price Chg (LOCAL),12 Price Chg (LOCAL),13 Price Chg (LOCAL),14 Price Chg (LOCAL),15 Price Chg (LOCAL),16 Price Chg (LOCAL),17 Price Chg (LOCAL),18 Price Chg (LOCAL),19 Price Chg (LOCAL),20 Price Chg (LOCAL),21 Price Chg (LOCAL),22 Price Chg (LOCAL),23 Price Chg (LOCAL),24 Price Chg (LOCAL),25 Price Chg (LOCAL),26 Price Chg (LOCAL),27 Price Chg (LOCAL),28 Price Chg (LOCAL),29 Price Chg (LOCAL),30 Price Chg (LOCAL),31 Price Chg (LOCAL)
A,"Agilent Technologies, Inc.",NYSE,Healthcare,"23,950.9",0.5,309.7,"26,461.7",0.0,-4.3,-6.8,"5,223.0",10.0,5.5,6.6,AAA,"23,950.9",77.1,"25,473.7",82.0,"24,960.9",80.3,"26,213.3",84.4,"24,914.5",80.5,"24,326.2",78.6,"24,326.2",78.6,"24,326.2",78.6,"21,907.8",70.8,"22,576.7",72.9,"21,316.4",68.8,"19,638.1",63.4,"21,427.9",69.2,"21,427.9",69.2,"21,427.9",69.2,"19,857.9",64.1,"21,811.8",70.4,"21,325.7",68.9,"20,362.7",65.8,"20,579.4",66.5,"20,579.4",66.5,"20,579.4",66.5,"19,622.6",63.4,"20,746.6",67.0,"21,365.9",69.0,"22,827.5",73.7,"21,957.4",70.9,"21,957.4",70.9,"21,957.4",70.9,"22,502.3",72.7,"22,177.2",71.6,"1,784.8",5.7,0.0,6.4,-2.0,5.0,-4.6,-2.4,0.0,0.0,-9.9,3.1,-5.6,-7.9,9.1,0.0,0.0,-7.3,9.8,-2.2,-4.5,1.1,0.0,0.0,-4.6,5.7,3.0,6.8,-3.8,0.0,0.0,2.5,-1.4
AAL,"American Airlines Group, Inc.",NASDAQ,Industrials,"8,116.4",-14.7,428.2,"12,280.8",-0.5,-43.9,-36.0,"33,361.0",3.3,5.1,2.5,CCC,"8,116.4",19.1,"8,035.5",18.9,"7,605.1",17.9,"7,894.9",18.5,"6,834.0",16.0,"6,804.2",16.0,"6,804.2",16.0,"6,804.2",16.0,"6,284.4",14.8,"7,243.0",17.0,"6,927.7",16.3,"5,730.5",13.5,"6,096.9",14.3,"6,096.9",14.3,"6,096.9",14.3,"6,782.9",15.9,"6,638.0",15.6,"4,963.6",11.7,"4,384.1",10.3,"4,422.5",10.4,"4,422.5",10.4,"4,422.5",10.4,"4,367.1",10.3,"5,930.7",13.9,"6,557.0",15.4,"6,672.1",15.7,"5,981.9",14.0,"5,981.9",14.0,"5,981.9",14.0,"5,219.2",12.3,"5,193.7",12.2,"1,095.0",2.6,0.0,-1.0,-5.4,3.8,-13.4,-0.4,0.0,0.0,-7.6,15.3,-4.4,-17.3,6.4,0.0,0.0,11.3,-2.1,-25.2,-11.7,0.9,0.0,0.0,-1.3,35.8,10.6,1.8,-10.3,0.0,0.0,-12.7,-0.5
AAN,"Aaron's, Inc.",NYSE,Consumer Cyclicals,"2,625.1",12.1,66.7,"3,835.1",0.2,-28.0,-42.0,"4,098.8",3.4,6.0,4.8,A,"2,625.1",39.3,"2,586.4",38.8,"2,512.9",37.7,"2,520.3",37.8,"2,394.8",35.9,"2,320.7",34.8,"2,320.7",34.8,"2,320.7",34.8,"2,163.9",32.4,"2,242.0",33.6,"2,011.7",30.1,"1,852.8",27.8,"2,011.0",30.1,"2,011.0",30.1,"2,011.0",30.1,"1,615.2",24.2,"1,459.0",21.9,"1,226.8",18.4,"1,217.4",18.2,"1,001.2",15.0,"1,001.2",15.0,"1,001.2",15.0,"1,049.2",15.7,"1,389.0",20.8,"1,585.9",23.8,"1,581.2",23.7,"1,578.5",23.7,"1,578.5",23.7,"1,578.5",23.7,"1,505.1",22.6,"1,520.5",22.8,512.3,7.7,0.0,-1.5,-2.8,0.3,-5.0,-3.1,0.0,0.0,-6.8,3.6,-10.3,-7.9,8.5,0.0,0.0,-19.7,-9.7,-15.9,-0.8,-17.8,0.0,0.0,4.8,32.4,14.2,-0.3,-0.2,0.0,0.0,-4.7,1.0
AAOI,"Applied Optoelectronics, Inc.",NASDAQ,Technology,179.7,13.4,20.1,239.0,1.1,-32.6,-15.0,200.4,#N/A,#N/A,#N/A,@NA,179.7,8.9,182.7,9.0,190.2,9.4,189.8,9.4,182.9,9.0,177.8,8.8,177.8,8.8,177.8,8.8,156.2,7.7,164.3,8.1,142.4,7.0,114.9,5.7,123.6,6.1,123.6,6.1,123.6,6.1,114.1,5.6,120.6,6.0,111.3,5.5,132.5,6.6,136.4,6.7,136.4,6.7,136.4,6.7,139.6,6.9,155.8,7.7,150.7,7.5,140.8,7.0,151.3,7.5,151.3,7.5,151.3,7.5,153.8,7.6,153.6,7.6,23.8,1.2,0.0,1.1,4.1,-0.2,-3.6,-2.8,0.0,0.0,-12.2,5.2,-13.3,-19.3,7.6,0.0,0.0,-7.7,5.7,-7.7,19.1,2.9,0.0,0.0,2.4,11.6,-3.2,-6.6,7.5,0.0,0.0,1.6,-0.1
AAON,"AAON, Inc.",NASDAQ,Industrials,"2,865.6",5.5,52.1,"2,574.2",0.1,34.1,-12.2,499.2,5.5,7.0,8.4,A,"2,865.6",55.0,"3,015.6",57.9,"2,926.5",56.2,"3,114.1",59.8,"3,053.1",58.6,"3,071.9",59.0,"3,071.9",59.0,"3,071.9",59.0,"2,692.1",51.7,"2,706.7",52.0,"2,303.5",44.2,"2,149.8",41.3,"2,714.0",52.1,"2,714.0",52.1,"2,714.0",52.1,"2,671.8",51.3,"2,494.7",47.9,"2,467.1",47.4,"2,561.4",49.2,"2,364.5",45.4,"2,364.5",45.4,"2,364.5",45.4,"2,487.4",47.8,"2,369.7",45.5,"2,226.9",42.8,"2,521.8",48.4,"2,409.8",46.3,"2,409.8",46.3,"2,409.8",46.3,"2,514.0",48.3,"2,517.1",48.3,280.2,5.4,0.0,5.2,-3.0,6.4,-2.0,0.6,0.0,0.0,-12.4,0.5,-14.9,-6.7,26.2,0.0,0.0,-1.6,-6.6,-1.1,3.8,-7.7,0.0,0.0,5.2,-4.7,-6.0,13.2,-4.4,0.0,0.0,4.3,0.1
AAP,"Advance Auto Parts, Inc.",NYSE,Consumer Cyclicals,"9,210.1",26.7,69.2,"11,092.6",0.2,-17.1,-29.6,"9,624.0",2.0,5.9,4.6,BBB,"9,210.1",133.0,"9,210.8",133.0,"9,026.6",130.3,"9,201.7",132.9,"8,787.7",126.9,"8,856.2",127.9,"8,856.2",127.9,"8,856.2",127.9,"9,025.9",130.4,"9,361.0",135.2,"8,697.7",125.6,"7,558.7",109.2,"7,871.7",113.7,"7,871.7",113.7,"7,871.7",113.7,"6,594.9",95.3,"6,941.1",100.3,"6,144.2",88.7,"5,952.4",86.0,"5,194.9",75.0,"5,194.9",75.0,"5,194.9",75.0,"5,435.2",78.5,"5,980.8",86.4,"6,257.0",90.4,"6,724.4",97.1,"6,619.2",95.6,"6,619.2",95.6,"6,619.2",95.6,"6,681.5",96.5,"6,461.3",93.3,"1,409.2",20.3,0.0,0.0,-2.0,2.0,-4.5,0.8,0.0,0.0,1.9,3.7,-7.1,-13.1,4.1,0.0,0.0,-16.2,5.2,-11.5,-3.1,-12.7,0.0,0.0,4.6,10.0,4.6,7.5,-1.6,0.0,0.0,0.9,-3.3
AAPL,Apple Inc.,NASDAQ,Technology,"1,196,081.0",5.1,"17,539.8","1,304,765.0",0.1,58.0,-7.0,"273,420.0",3.8,4.6,5.5,A,"1,196,081.0",68.3,"1,307,437.0",74.7,"1,265,914.0",72.3,"1,324,633.0",75.7,"1,281,666.0",73.2,"1,264,645.0",72.3,"1,264,645.0",72.3,"1,264,645.0",72.3,"1,164,622.0",66.5,"1,248,500.0",71.3,"1,205,138.0",68.9,"1,086,125.0",62.1,"1,216,252.0",69.5,"1,216,252.0",69.5,"1,216,252.0",69.5,"1,059,785.0",60.6,"1,106,384.0",63.2,"1,079,300.0",61.7,"1,071,030.0",61.2,"1,003,035.0",57.3,"1,003,035.0",57.3,"1,003,035.0",57.3,"981,726.4",56.1,"1,080,219.0",61.7,"1,074,268.0",61.4,"1,130,799.0",64.6,"1,083,981.0",61.9,"1,083,981.0",61.9,"1,083,981.0",61.9,"1,114,916.0",63.7,"1,112,641.0",63.6,"99,796.2",5.7,0.0,9.3,-3.2,4.6,-3.2,-1.3,0.0,0.0,-7.9,7.2,-3.5,-9.9,12.0,0.0,0.0,-12.9,4.4,-2.4,-0.8,-6.3,0.0,0.0,-2.1,10.0,-0.6,5.3,-4.1,0.0,0.0,2.9,-0.2
AAT,"American Assets Trust, Inc.",NYSE,Finance,"2,489.8",20.6,60.1,"2,752.0",0.4,-2.8,-39.0,370.9,6.3,6.2,1.4,BB,"2,489.8",41.5,"2,577.5",42.9,"2,519.9",42.0,"2,586.5",43.1,"2,537.9",42.3,"2,479.6",41.3,"2,479.6",41.3,"2,479.6",41.3,"2,241.1",37.3,"2,328.8",38.8,"2,140.8",35.6,"1,827.3",30.4,"2,022.5",33.7,"2,022.5",33.7,"2,022.5",33.7,"1,476.5",24.6,"1,463.9",24.4,"1,307.7",21.8,"1,353.3",22.5,"1,349.1",22.5,"1,349.1",22.5,"1,349.1",22.5,"1,324.5",22.1,"1,433.8",23.9,"1,374.4",22.9,"1,467.5",24.4,"1,483.1",24.7,"1,483.1",24.7,"1,483.1",24.7,"1,481.9",24.7,"1,501.7",25.0,490.3,8.2,0.0,3.5,-2.2,2.6,-1.9,-2.3,0.0,0.0,-9.6,3.9,-8.1,-14.6,10.7,0.0,0.0,-27.0,-0.9,-10.7,3.5,-0.3,0.0,0.0,-1.8,8.3,-4.1,6.8,1.1,0.0,0.0,-0.1,1.3
AAWW,"Atlas Air Worldwide Holdings, Inc.",NASDAQ,Industrials,693.6,66.3,25.9,713.3,2.4,-50.5,-3.9,"2,864.3",1.8,6.3,6.7,B,693.6,26.7,689.9,26.6,671.2,25.9,682.7,26.3,620.1,23.9,593.4,22.9,593.4,22.9,593.4,22.9,540.7,20.8,551.6,21.3,466.7,18.0,426.1,16.4,464.6,17.9,464.6,17.9,464.6,17.9,485.7,18.7,614.9,23.7,509.0,19.6,568.2,21.9,595.2,22.9,595.2,22.9,595.2,22.9,633.4,24.4,614.7,23.7,590.5,22.8,628.4,24.2,575.5,22.2,575.5,22.2,575.5,22.2,576.0,22.2,666.3,25.7,71.8,2.8,0.0,-0.5,-2.7,1.7,-9.2,-4.3,0.0,0.0,-8.9,2.0,-15.4,-8.7,9.0,0.0,0.0,4.5,26.6,-17.2,11.6,4.8,0.0,0.0,6.4,-3.0,-3.9,6.4,-8.4,0.0,0.0,0.1,15.7
AAXN,Axon Enterprise Inc,NASDAQ,Industrials,"4,591.2",8.5,59.5,"4,348.5",0.1,42.1,-8.5,591.1,3.6,5.9,4.1,A,"4,591.2",77.4,"4,901.5",82.3,"4,649.1",78.1,"4,801.5",80.7,"4,474.7",75.2,"4,431.3",74.4,"4,431.3",74.4,"4,431.3",74.4,"3,935.4",66.1,"3,994.9",67.1,"3,599.7",60.5,"3,376.4",56.7,"3,716.3",62.4,"3,716.3",62.4,"3,716.3",62.4,"3,209.8",53.9,"3,402.0",57.2,"3,131.8",52.6,"3,691.3",62.0,"3,618.1",60.8,"3,618.1",60.8,"3,618.1",60.8,"3,774.7",63.4,"4,156.8",69.8,"4,235.4",71.2,"4,555.1",76.5,"4,429.5",74.4,"4,429.5",74.4,"4,429.5",74.4,"4,134.8",69.5,"4,212.8",70.8,485.2,8.2,0.0,6.4,-5.1,3.3,-6.8,-1.0,0.0,0.0,-11.2,1.5,-9.9,-6.2,10.1,0.0,0.0,-13.6,6.0,-7.9,17.9,-2.0,0.0,0.0,4.3,10.1,1.9,7.5,-2.8,0.0,0.0,-6.7,1.9
