Symbol,Name,Stock Exchange,Company Main Business,Size,Book Value Per Shr Tangble,Common Shares Outstdg,MktVal Co,Book to Market Ratio,Momentum,Monthly Return,Sales,MSCI ESG Rtg Score Environmental,MSCI ESG Rtg Score Governance,MSCI ESG Rtg Score Social,MSCI ESG Rtg Overall Company Rating,1 MktVal Co,1 Closing Price,2 MktVal Co,2 Closing Price,3 MktVal Co,3 Closing Price,4 MktVal Co,4 Closing Price,5 MktVal Co,5 Closing Price,6 MktVal Co,6 Closing Price,7 MktVal Co,7 Closing Price,8 MktVal Co,8 Closing Price,9 MktVal Co,9 Closing Price,10 MktVal Co,10 Closing Price,11 MktVal Co,11 Closing Price,12 MktVal Co,12 Closing Price,13 MktVal Co,13 Closing Price,14 MktVal Co,14 Closing Price,15 MktVal Co,15 Closing Price,16 MktVal Co,16 Closing Price,17 MktVal Co,17 Closing Price,18 MktVal Co,18 Closing Price,19 MktVal Co,19 Closing Price,20 MktVal Co,20 Closing Price,21 MktVal Co,21 Closing Price,22 MktVal Co,22 Closing Price,23 MktVal Co,23 Closing Price,24 MktVal Co,24 Closing Price,25 MktVal Co,25 Closing Price,26 MktVal Co,26 Closing Price,27 MktVal Co,27 Closing Price,28 MktVal Co,28 Closing Price,29 MktVal Co,29 Closing Price,30 MktVal Co,30 Closing Price,31 MktVal Co,31 Closing Price,STD MktVal,STD Closing Price,1 Price Chg (LOCAL),2 Price Chg (LOCAL),3 Price Chg (LOCAL),4 Price Chg (LOCAL),5 Price Chg (LOCAL),6 Price Chg (LOCAL),7 Price Chg (LOCAL),8 Price Chg (LOCAL),9 Price Chg (LOCAL),10 Price Chg (LOCAL),11 Price Chg (LOCAL),12 Price Chg (LOCAL),13 Price Chg (LOCAL),14 Price Chg (LOCAL),15 Price Chg (LOCAL),16 Price Chg (LOCAL),17 Price Chg (LOCAL),18 Price Chg (LOCAL),19 Price Chg (LOCAL),20 Price Chg (LOCAL),21 Price Chg (LOCAL),22 Price Chg (LOCAL),23 Price Chg (LOCAL),24 Price Chg (LOCAL),25 Price Chg (LOCAL),26 Price Chg (LOCAL),27 Price Chg (LOCAL),28 Price Chg (LOCAL),29 Price Chg (LOCAL),30 Price Chg (LOCAL),31 Price Chg (LOCAL)
A,"Agilent Technologies, Inc.",NYSE,Healthcare,"23,737.9",0.5,309.7,"26,461.7",0.0,-0.2,18.8,"5,223.0",10.0,5.5,6.6,AAA,"22,979.2",74.2,"22,979.2",74.2,"22,979.2",74.2,"23,087.6",74.6,"23,648.1",76.4,"24,112.5",77.9,"24,307.6",78.5,"24,682.3",79.7,"24,682.3",79.7,"24,682.3",79.7,"25,165.3",81.3,"24,725.6",79.9,"24,821.6",80.2,"25,279.9",81.6,"25,264.4",81.6,"25,264.4",81.6,"25,264.4",81.6,"25,905.4",83.7,"25,382.1",82.0,"25,301.6",81.7,"25,004.3",80.8,"26,314.1",85.0,"26,314.1",85.0,"26,314.1",85.0,"26,314.1",85.0,"26,670.2",86.1,"26,685.7",86.2,"26,843.7",86.7,"27,292.6",88.1,"27,292.6",88.1,"27,292.6",88.1,"1,297.5",4.2,-3.2,0.0,0.0,0.5,2.4,2.0,0.8,1.5,0.0,0.0,2.0,-1.7,0.4,1.8,-0.1,0.0,0.0,2.5,-2.0,-0.3,-1.2,5.2,0.0,0.0,0.0,1.4,0.1,0.6,1.7,0.0,0.0
AAL,"American Airlines Group, Inc.",NASDAQ,Industrials,"5,079.0",-14.7,428.2,"12,280.8",-0.5,-63.4,-1.3,"33,361.0",3.3,5.1,2.5,CCC,"4,499.6",10.6,"4,499.6",10.6,"4,499.6",10.6,"4,152.8",9.8,"4,021.7",9.5,"3,911.8",9.3,"4,034.4",9.5,"4,288.2",10.1,"4,288.2",10.1,"4,288.2",10.1,"4,271.2",10.1,"4,080.9",9.7,"3,852.6",9.1,"3,869.5",9.2,"3,823.0",9.0,"3,823.0",9.0,"3,823.0",9.0,"4,174.0",9.9,"4,076.7",9.6,"4,174.0",9.9,"4,182.4",9.9,"4,102.1",9.7,"4,102.1",9.7,"4,102.1",9.7,"4,102.1",9.7,"4,711.0",11.1,"5,066.3",12.0,"4,643.4",11.0,"4,440.4",10.5,"4,440.4",10.5,"4,440.4",10.5,290.9,0.7,-11.4,0.0,0.0,-7.7,-3.2,-2.7,3.1,6.3,0.0,0.0,-0.4,-4.5,-5.6,0.4,-1.2,0.0,0.0,9.2,-2.3,2.4,0.2,-1.9,0.0,0.0,0.0,14.8,7.5,-8.3,-4.4,0.0,0.0
AAN,"Aaron's, Inc.",NYSE,Consumer Cyclicals,"2,156.0",12.1,66.7,"3,835.1",0.2,-41.3,21.0,"4,098.8",3.4,6.0,4.8,A,"2,061.4",30.5,"2,061.4",30.5,"2,061.4",30.5,"2,091.8",31.0,"1,986.4",29.4,"1,945.9",28.8,"2,253.3",33.4,"2,417.5",35.8,"2,417.5",35.8,"2,417.5",35.8,"2,331.7",34.5,"2,222.9",32.9,"2,006.0",29.7,"2,167.5",32.1,"2,114.8",31.3,"2,114.8",31.3,"2,114.8",31.3,"2,254.7",33.4,"2,180.4",32.3,"2,281.0",33.8,"2,277.0",33.7,"2,295.9",34.0,"2,295.9",34.0,"2,295.9",34.0,"2,295.9",34.0,"2,453.3",36.3,"2,593.2",38.4,"2,448.6",36.2,"2,493.9",36.9,"2,493.9",36.9,"2,493.9",36.9,172.9,2.6,-4.4,0.0,0.0,1.5,-5.0,-2.0,15.8,7.3,0.0,0.0,-3.5,-4.7,-9.8,8.0,-2.4,0.0,0.0,6.6,-3.3,4.6,-0.2,0.8,0.0,0.0,0.0,6.9,5.7,-5.6,1.8,0.0,0.0
AAOI,"Applied Optoelectronics, Inc.",NASDAQ,Technology,217.1,13.4,20.1,239.0,1.1,-12.6,-12.7,200.4,#N/A,#N/A,#N/A,@NA,204.8,10.1,204.8,10.1,204.8,10.1,211.0,10.4,209.4,10.3,218.3,10.8,247.1,12.2,206.4,10.2,206.4,10.2,206.4,10.2,197.5,9.7,188.8,9.3,177.0,8.7,172.9,8.5,165.8,8.2,165.8,8.2,165.8,8.2,169.8,8.4,171.7,8.4,175.1,8.6,176.1,8.7,175.1,8.6,175.1,8.6,175.1,8.6,175.1,8.6,182.2,9.0,184.1,9.1,181.0,8.9,179.6,8.8,179.6,8.8,179.6,8.8,19.2,1.0,-5.7,0.0,0.0,3.1,-0.8,4.3,13.2,-16.5,0.0,0.0,-4.7,-4.4,-6.3,-2.3,-4.1,0.0,0.0,2.5,1.1,2.0,0.6,-0.6,0.0,0.0,0.0,4.1,1.0,-1.7,-0.8,0.0,0.0
AAON,"AAON, Inc.",NASDAQ,Industrials,"2,479.7",5.5,52.1,"2,574.2",0.1,-3.8,19.3,499.2,5.5,7.0,8.4,A,"2,363.6",45.4,"2,363.6",45.4,"2,363.6",45.4,"2,363.6",45.4,"2,401.1",46.1,"2,442.2",46.9,"2,528.6",48.6,"2,546.4",48.9,"2,546.4",48.9,"2,546.4",48.9,"2,520.4",48.4,"2,473.3",47.5,"2,420.0",46.5,"2,390.3",45.9,"2,484.5",47.8,"2,484.5",47.8,"2,484.5",47.8,"2,657.3",51.1,"2,597.4",49.9,"2,618.7",50.3,"2,694.7",51.8,"2,690.0",51.7,"2,690.0",51.7,"2,690.0",51.7,"2,690.0",51.7,"2,850.3",54.8,"2,860.7",55.0,"2,821.2",54.2,"2,818.5",54.2,"2,818.5",54.2,"2,818.5",54.2,163.1,3.1,-4.7,0.0,0.0,0.0,1.6,1.7,3.5,0.7,0.0,0.0,-1.0,-1.9,-2.2,-1.2,3.9,0.0,0.0,7.0,-2.3,0.8,2.9,-0.2,0.0,0.0,0.0,6.0,0.4,-1.4,-0.1,0.0,0.0
AAP,"Advance Auto Parts, Inc.",NYSE,Consumer Cyclicals,"8,353.6",26.7,69.2,"11,092.6",0.2,-25.9,19.5,"9,624.0",2.0,5.9,4.6,BBB,"8,055.1",116.6,"8,055.1",116.6,"8,055.1",116.6,"8,298.3",120.1,"8,372.9",121.2,"8,370.8",121.2,"8,263.7",119.6,"8,625.8",124.9,"8,625.8",124.9,"8,625.8",124.9,"8,701.1",125.9,"8,601.6",124.5,"8,238.2",119.2,"8,368.8",121.1,"8,709.4",126.1,"8,709.4",126.1,"8,709.4",126.1,"9,058.3",131.1,"9,385.3",135.8,"9,378.4",135.7,"9,314.2",134.8,"9,223.6",133.5,"9,223.6",133.5,"9,223.6",133.5,"9,223.6",133.5,"9,368.7",135.6,"9,792.3",141.7,"9,566.4",138.4,"9,627.2",139.3,"9,627.2",139.3,"9,627.2",139.3,540.1,7.8,-3.6,0.0,0.0,3.0,0.9,0.0,-1.3,4.4,0.0,0.0,0.9,-1.1,-4.2,1.6,4.1,0.0,0.0,4.0,3.6,-0.1,-0.7,-1.0,0.0,0.0,0.0,1.6,4.5,-2.3,0.6,0.0,0.0
AAPL,Apple Inc.,NASDAQ,Technology,"1,285,516.0",5.1,"17,539.8","1,304,765.0",0.1,41.0,10.3,"273,420.0",3.8,4.6,5.5,A,"1,252,926.0",72.3,"1,252,926.0",72.3,"1,252,926.0",72.3,"1,270,654.0",73.3,"1,289,725.0",74.4,"1,303,031.0",75.2,"1,316,511.0",75.9,"1,344,207.0",77.5,"1,344,207.0",77.5,"1,344,207.0",77.5,"1,365,359.0",78.8,"1,349,755.0",77.9,"1,333,458.0",76.9,"1,341,650.0",77.4,"1,333,718.0",76.9,"1,333,718.0",76.9,"1,333,718.0",76.9,"1,365,142.0",78.7,"1,357,254.0",78.3,"1,383,650.0",79.8,"1,373,334.0",79.2,"1,382,176.0",79.7,"1,382,176.0",79.7,"1,382,176.0",79.7,"1,382,176.0",79.7,"1,372,814.0",79.2,"1,378,795.0",79.5,"1,379,402.0",79.6,"1,378,059.0",79.5,"1,378,059.0",79.5,"1,378,059.0",79.5,"41,713.3",2.4,-1.6,0.0,0.0,1.4,1.5,1.0,1.0,2.1,0.0,0.0,1.6,-1.1,-1.2,0.6,-0.6,0.0,0.0,2.4,-0.6,1.9,-0.7,0.6,0.0,0.0,0.0,-0.7,0.4,0.0,-0.1,0.0,0.0
AAT,"American Assets Trust, Inc.",NYSE,Finance,"1,701.1",20.6,60.1,"2,752.0",0.4,-36.2,-4.4,370.9,6.3,6.2,1.4,BB,"1,644.7",27.4,"1,644.7",27.4,"1,644.7",27.4,"1,641.1",27.3,"1,627.2",27.1,"1,608.0",26.8,"1,606.2",26.7,"1,671.1",27.8,"1,671.1",27.8,"1,671.1",27.8,"1,565.4",26.1,"1,503.5",25.0,"1,436.2",23.9,"1,476.5",24.6,"1,464.5",24.4,"1,464.5",24.4,"1,464.5",24.4,"1,561.8",26.0,"1,507.7",25.1,"1,550.4",25.8,"1,557.6",25.9,"1,511.9",25.2,"1,511.9",25.2,"1,511.9",25.2,"1,511.9",25.2,"1,621.8",27.0,"1,687.3",28.1,"1,631.4",27.2,"1,572.0",26.2,"1,572.0",26.2,"1,572.0",26.2,73.3,1.2,-3.3,0.0,0.0,-0.2,-0.8,-1.2,-0.1,4.0,0.0,0.0,-6.3,-4.0,-4.5,2.8,-0.8,0.0,0.0,6.6,-3.5,2.8,0.5,-2.9,0.0,0.0,0.0,7.3,4.0,-3.3,-3.6,0.0,0.0
AAWW,"Atlas Air Worldwide Holdings, Inc.",NASDAQ,Industrials,858.3,66.3,25.9,713.3,2.4,-31.0,22.3,"2,864.3",1.8,6.3,6.7,B,834.7,32.0,834.7,32.0,834.7,32.0,859.3,32.9,872.4,33.4,927.5,35.5,"1,006.9",38.5,"1,010.6",38.7,"1,010.6",38.7,"1,010.6",38.7,988.9,37.9,968.3,37.1,949.4,36.3,974.8,37.3,926.7,35.5,926.7,35.5,926.7,35.5,"1,004.6",38.5,"1,012.4",38.8,"1,041.4",39.9,"1,034.4",39.6,"1,026.3",39.3,"1,026.3",39.3,"1,026.3",39.3,"1,026.3",39.3,"1,020.2",39.1,"1,023.9",39.2,"1,016.3",38.9,"1,020.5",39.1,"1,020.5",39.1,"1,020.5",39.1,66.1,2.5,-2.7,0.0,0.0,2.9,1.5,6.3,8.6,0.4,0.0,0.0,-2.1,-2.1,-1.9,2.7,-4.9,0.0,0.0,8.4,0.8,2.9,-0.7,-0.8,0.0,0.0,0.0,-0.6,0.4,-0.7,0.4,0.0,0.0
AAXN,Axon Enterprise Inc,NASDAQ,Industrials,"4,349.8",8.5,59.5,"4,348.5",0.1,14.0,9.3,591.1,3.6,5.9,4.1,A,"4,159.0",69.5,"4,159.0",69.5,"4,159.0",69.5,"4,008.2",67.0,"3,939.4",65.9,"3,956.2",66.1,"4,204.4",70.3,"5,152.6",86.1,"5,152.6",86.1,"5,152.6",86.1,"5,080.4",84.9,"4,994.2",83.5,"4,796.2",80.2,"4,522.8",75.6,"4,421.7",73.9,"4,421.7",73.9,"4,421.7",73.9,"4,478.5",74.9,"4,470.7",74.7,"4,559.3",76.2,"4,580.2",76.6,"4,433.6",74.1,"4,433.6",74.1,"4,433.6",74.1,"4,433.6",74.1,"4,534.8",75.8,"4,528.8",75.7,"4,379.2",73.2,"4,544.3",76.0,"4,544.3",76.0,"4,544.3",76.0,331.9,5.5,-4.4,0.0,0.0,-3.6,-1.7,0.4,6.3,22.6,0.0,0.0,-1.4,-1.7,-4.0,-5.7,-2.2,0.0,0.0,1.3,-0.2,2.0,0.5,-3.2,0.0,0.0,0.0,2.3,-0.1,-3.3,3.8,0.0,0.0
